seamonkey_version,cve_id,advisory,title,reporter,impact,description,bug_id
02.7,['CVE-2012-0446'],2012-05,Frame scripts calling into untrusted objects bypass security checks,moz_bug_r_a4,Critical,Mozilla security researcher moz_bug_r_a4 reported that frame scripts bypass XPConnect security checks when calling untrusted objects. This allows for cross-site scripting (XSS) attacks through web pages and Firefox extensions. The fix enables the Script Security Manager (SSM) to force security checks on all frame scripts.,[705651]
02.7,['CVE-2012-0443'],2012-01,Miscellaneous memory safety hazards (rv:10.0/ 1.9.2.26),Mozilla developers and community,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Ben Hawkes Christian Holler Honza Bombas Jason Orendorff Jesse Ruderman Jan Odvarko Peter Van Der Beken and Bill McCloskey reported memory safety problems that were fixed in Firefox 10.,"[695076, 696748, 712169, 713209, 714600, 692817, 715662, 665578, 711651, 712289, 684938, 707051]"
02.7,['CVE-2012-0444'],2012-07,Potential Memory Corruption When Decoding Ogg Vorbis files,regenrecht,Critical,Security researcher regenrecht reported via TippingPoint's Zero Day Initiative the possibility of memory corruption during the decoding of Ogg Vorbis files. This can cause a crash during decoding and has the potential for remote code execution.,[719612]
02.7,['CVE-2012-0449'],2012-08,Crash with malformed embedded XSLT stylesheets,"Nicolas Grégoire, Aki Helin",Critical,Security researchers Nicolas Grégoire and Aki Helin independently reported that when processing a malformed embedded XSLT stylesheet Firefox can crash due to a memory corruption. While there is no evidence that this is directly exploitable there is a possibility of remote code execution.,"[702466, 701806]"
02.7,['CVE-2012-0450'],2012-09,Firefox Recovery Key.html is saved with unsafe permission,magicant starmen,Moderate,"magicant starmen reported that if a user chooses to export their Firefox Sync key the ""Firefox Recovery Key.html"" file is saved with incorrect permissions making the file contents potentially readable by other users on Linux and OS X systems.",[716868]
02.6,['CVE-2011-3660'],2011-53,Miscellaneous memory safety hazards (rv:9.0),Mozilla developers and community,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Alexandre Poirot Chris Blizzard Kyle Huey Scoobidiver Christian Holler David Baron Gary Kwong Jim Blandy Bob Clary Jesse Ruderman Marcia Knous and Rober Longson reported memory safety problems that were fixed in Firefox 9.,"[679494, 688364, 700512, 693143, 679986, 682252, 685321, 686107, 688974, 689892, 691746, 693144, 694200, 701248, 685186, 690376, 697255, 691873, 701637, 706249, 680687, 562442, 696579]"
02.6,['CVE-2011-3661'],2011-54,Potentially exploitable crash in the YARR regular expression library,Aki Helin,Critical,Security researcher Aki Helin reported a crash in the YARR regular expression library that could be triggered by javascript in web content.,[691299]
02.6,['CVE-2011-3663'],2011-56,Key detection without JavaScript via SVG animation,Mario Heiderich,Moderate,Security researcher Mario Heiderich reported it was possible to use SVG animation accessKey events to detect key strokes even when JavaScript was disabled. Since web pages can normally detect key events through script and most users have scripting enabled this does not present a risk for most users. In contexts where the user knows scripting is disabled (reading mail for example or NoScript users) this could allow a malicious web page to fool a user into interacting with a prompt thinking it came from the browser or mail program.,[704482]
02.6,['CVE-2011-3658'],2011-55,nsSVGValue out-of-bounds access,regenrecht via TippingPoint's ZDI,Critical,Security researcher regenrecht reported via TippingPoint's Zero Day Initiative that a flaw in the Mozilla SVG implementation could result in an out-of-bounds memory access if SVG elements were removed during a DOMAttrModified event handler.,[708186]
02.6,['CVE-2011-3671'],2012-41,Use-after-free in nsHTMLSelectElement,regenrecht,Critical,Security researcher regenrecht reported a flaw that affected Firefox versions 4 through 8 via TippingPoint's Zero Day Initiative. This flaw is a use-after-free in nsHTMLSelectElement when the parent node of the element is no longer active and could allow for possible remote code execution.,[739343]
02.6,['CVE-2011-3664'],2011-57,Crash when plugin removes itself on Mac OS X,Richard Bateman,High,FireBreath developer Richard Bateman reported a crash on Mac OS X that occurred when a plugin deletes its containing DOM frame during a call from that frame. The observed symptom is a null dereference but we cannot rule out the possibility that content from a scriptable plugin such as Flash could find a way to dereference a more useful address and exploit it.,[649079]
02.6,['CVE-2011-3665'],2011-58,Crash scaling <video> to extreme sizes,sczimmer,Critical,sczimmer reported a crash when scaling an OGG <video> element to extreme sizes.,[701259]
02.5,['CVE-2011-3655'],2011-52,Code execution via NoWaiverWrapper,moz_bug_r_a4,Critical,Mozilla security researcher moz_bug_r_a4 reported that an internal privilege check failed to respect the NoWaiverWrappers introduced with Firefox 4. This could result in elevated privilege being granted to web content.,[674182]
02.5,['CVE-2011-3653'],2011-51,Cross-origin image theft on Mac with integrated Intel GPU,Claus Wahlers,High,Claus Wahlers reported that random images from GPU memory were showing up in WebGL textures. Once incorporated into the WebGL graphics it is possible for a site to programatically read the image data and potentially gain sensitive data from other things that had been displayed earlier. This problem is due to a bug in the driver for Intel integrated GPUs on recent Mac OS X hardware and the problem can be seen in WebGL implementations from other vendors. Mozilla has implemented a work-around to prevent this from happening with this hardware-driver combination.,[684882]
02.5,['CVE-2011-3649'],2011-50,Cross-origin data theft using canvas and Windows D2D,Bas Schouten,High,"Mozilla developer Bas Schouten reported that the introduction of the ""Azure"" graphics back-end on Windows in Firefox 7 re-introduced the cross-origin data theft issue reported by nasalislarvatus3000 as described in  MFSA 2011-29.",[655836]
02.5,['CVE-2011-3650'],2011-49,Memory corruption while profiling using Firebug,Marc Schoenefeld,Critical,Marc Schoenefeld reported a crash when using Firebug to profile a JavaScript file with many functions. It may be possible to trigger this crash without the use of debugging APIs and if so this could be exploitable.,[674776]
02.5,['CVE-2011-3651'],2011-48,Miscellaneous memory safety hazards (rv:8.0),,Critical,Mozilla developers fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Jason Orendorff Boris Zbarsky Gregg Tavares Mats Palmgren Christian Holler Jesse Ruderman Simona Marcu Bob Clary and William McCloskey reported memory safety problems that affected Firefox 7.,"[646968, 652054, 665070, 671160, 672892, 674843, 675515, 676918, 677847, 679593, 686044]"
02.5,['CVE-2011-3652'],2011-48,Miscellaneous memory safety hazards (rv:8.0),,Critical,Mozilla developers fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Security researcher Rh0 reported a potentially exploitable crash due to unchecked allocation failure.,[682727]
02.5,['CVE-2011-3654'],2011-48,Miscellaneous memory safety hazards (rv:8.0),,Critical,Mozilla developers fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Security researcher Aki Helin reported a potentially exploitable crash with an SVG <mpath> linking to a non-SVG element.,[694953]
02.5,['CVE-2011-3648'],2011-47,Potential XSS against sites using Shift-JIS,Yosuke Hasegawa,High,Yosuke Hasegawa reported that the Mozilla browser engine mishandled invalid sequences in the Shift-JIS encoding. When encountering an invalid pair Mozilla would turn the entire two-byte sequence into a single unknown character rather than an unknown character followed by a valid single-byte character. On some sites attackers may have been able to end their input with the first byte of a two byte sequence; when that input was later put into a page context it might cause the following delimiter (such as a double-quote) to be consumed breaking the format of the page.  Depending on the page this could potentially be used to steal data or inject script into the page.,[690225]
02.4,"['CVE-2011-3002', 'CVE-2011-3003']",2011-41,Potentially exploitable WebGL crashes,"Michael Jordan, Ben Hawkes",Critical,Michael Jordon of Context IS reported that in the ANGLE library used by WebGL the return value from GrowAtomTable() was not checked for errors. If an attacker could cause requests that exceeded the available memeory those would fail and potentially lead to a buffer overrun as subsequent code wrote into the non-allocated space.,"[680840, 682335]"
02.4,['CVE-2011-2997'],2011-36,Miscellaneous memory safety hazards (rv:7.0 / rv:1.9.2.23),Mozilla developers and community,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Bob Clary Andrew McCreight Andreas Gal Gary Kwong Igor Bukanov Jason Orendorff Jesse Ruderman and Marcia Knous reported memory safety problems that affected Firefox 6 fixed in Firefox 7.,"[672436, 667011, 671756, 657198, 667507, 658864, 661567, 664930, 668941, 669228, 670319, 673757, 678818, 552002]"
02.4,['CVE-2011-2996'],2011-36,Miscellaneous memory safety hazards (rv:7.0 / rv:1.9.2.23),Mozilla developers and community,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Josh Aas reported a potential crash in the plugin API that affected Firefox 3.6 only.,[555018]
02.4,['CVE-2011-2995'],2011-36,Miscellaneous memory safety hazards (rv:7.0 / rv:1.9.2.23),Mozilla developers and community,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Benjamin Smedberg Bob Clary and Jesse Ruderman reported memory safety problems that affected Firefox 3.6 and Firefox 6.,"[655098, 660453, 662215, 665360]"
02.4,['CVE-2011-3000'],2011-39,Defense against multiple Location headers due to CRLF Injection,Ian Graham,Moderate,Ian Graham of Citrix Online reported that when multiple Location headers were present in a redirect response  Mozilla behavior differed from other browsers: Mozilla would use the second Location header while Chrome and Internet Explorer would use the first. Two copies of this header with different values could be a symptom of a CRLF injection attack against a vulnerable server. Most commonly it is the Location header itself that is vulnerable to the response splitting and therefore the copy preferred by Mozilla is more likely to be the malicious one. It is possible however that the first copy was the injected one depending on the nature of the server vulnerability.,[655389]
02.4,"['CVE-2011-2372', 'CVE-2011-3001']",2011-40,Code installation through holding down Enter,Mariusz Mlynski,Critical,Mariusz Mlynski reported that if you could convince a user to hold down the Enter key--as part of a game or test perhaps--a malicious page could pop up a download dialog where the held key would then activate the default Open action. For some file types this would be merely annoying (the equivalent of a pop-up) but other file types have powerful scripting capabilities. And this would provide an avenue for an attacker to exploit a vulnerability in applications not normally exposed to potentially hostile internet content.,"[657462, 662309, 663899, 672485]"
02.4,['CVE-2011-3232'],2011-42,Potentially exploitable crash in the YARR regular expression library,Aki Helin,Critical,Security researcher Aki Helin reported a potentially exploitable crash in the YARR regular expression library used by JavaScript.,[653672]
02.4,['CVE-2011-3005'],2011-44,Use after free reading OGG headers,sczimmer,Critical,sczimmer reported that Firefox crashed when loading a particular .ogg file. This was due to a use-after-free condition and could potentially be exploited to install malware.,[675747]
02.4,['CVE-2011-3670'],2012-02,Overly permissive IPv6 literal syntax,Gregory Fleischer,Low,For historical reasons Firefox has been generous in its interpretation of web addresses containing square brackets around the host. If this host was not a valid IPv6 literal address Firefox attempted to interpret the host as a regular domain name. Gregory Fleischer reported that requests made using IPv6 syntax using XMLHttpRequest objects through a proxy may generate errors depending on proxy configuration for IPv6. The resulting error messages from the proxy may disclose sensitive data because Same-Origin Policy (SOP) will allow the XMLHttpRequest object to read these error messages allowing user privacy to be eroded. Firefox now enforces RFC 3986 IPv6 literal syntax and that may break links written using the non-standard Firefox-only forms that were previously accepted.,[504014]
02.4,['CVE-2011-3004'],2011-43,loadSubScript unwraps XPCNativeWrapper scope parameter,David Rees,Critical,"David Rees reported that the JSSubScriptLoader (a feature used by some add-ons) was ""unwrapping"" XPCNativeWrappers when they were used as the scope parameter to loadSubScript(). Without the protection of the wrappers the add-on could be vulnerable to privilege escalation attacks from malicious web content. Whether any given add-on were vulnerable would depend on how the add-on used the feature and whether it interacted directly with web content but we did find at least one vulnerable add-on and presume there are more.",[653926]
02.38,['CVE-2015-4509'],2015-106,Use-after-free while manipulating HTML media content,Anonymous,Critical,An anonymous researcher reported via HP's Zero Day Initiative a use-after-free vulnerability with HTML media elements on a page during script manipulation of the URI table of these elements. This results in a potentially exploitable crash.,[1198435]
02.38,['CVE-2015-4520'],2015-111,Errors in the handling of CORS preflight request headers,Ehsan Akhgari,High,"Mozilla developer Ehsan Akhgari reported two issues with Cross-origin resource sharing (CORS) ""preflight"" requests.","[1200856, 1200869]"
02.38,['CVE-2015-4519'],2015-110,Dragging and dropping images exposes final URL after redirects,Mario Gomes,Moderate,"Security researcher Mario Gomes reported that when a previously loaded image on a page is drag and dropped into content after a redirect the redirected URL is available to scripts. This is a violation of the  Fetch specification's defined behavior for ""Atomic HTTP redirect handling"" which states that redirected URLs are not exposed to any APIs. This can allow for information leakage.",[1189814]
02.38,['CVE-2015-4516'],2015-109,JavaScript immutable property enforcement can be bypassed,Jeff Walden,High,Mozilla developer Jeff Walden reported that in Gecko's implementation of ECMAScript 5 API's enforces non-configurable properties with logic specific to each API. Scripts that do not go through these APIs can bypass these protections and make changes to the immutable properties in violation of security protections. This could potentially allow for web content to run in a privileged context leading to arbitrary code execution.,[904886]
02.38,['CVE-2015-4502'],2015-108,Scripted proxies can access inner window,André Bargull,Moderate,Security researcher André Bargull reported that when a web page creates a scripted proxy for the window with a handler defined a certain way a reference to the inner window will be passed rather than that of the outer window in violation of the specification.,[1105045]
02.38,['CVE-2015-4512'],2015-107,Out-of-bounds read during 2D canvas display on Linux 16-bit color depth systems,Francisco Alonso,Moderate,Security researcher Francisco Alonso of the NowSecure Research Team used the Address Sanitizer tool to discover an out-of-bounds read issue during 2D canvas rendering. This was due to an issue in the cairo graphics library when surfaces are created with 32-bit color depth but displayed on a 16-bit color depth system which is unsupported. This allows an attacker to read an amount of random memory following the heap for the 16-bit surface leading to information disclosure.,[1170390]
02.38,['CVE-2015-4510'],2015-104,Use-after-free with shared workers and IndexedDB,Looben Yang,Critical,Security researcher Looben Yang discovered a use-after-free vulnerability when using a shared worker with IndexedDB due to a race condition with the worker. This results in a potentially exploitable crash that can be triggered through web content.,[1200004]
02.38,['CVE-2015-4511'],2015-105,Buffer overflow while decoding WebM video,Atte Kettunen,High,Using the Address Sanitizer tool security researcher Atte Kettunen discovered a buffer overflow in the nestegg library when decoding a WebM format video with maliciously formatted headers. This leads to a potentially exploitable crash.,[1200148]
02.38,['CVE-2015-4508'],2015-103,URL spoofing in reader mode,Juho Nurminen,Low,Security researcher Juho Nurminen reported a mechanism to spoof the URL displayed in the addressbar in reader mode by manipulating the loaded URL. This flaw allows for the URL displayed to be different than that the web content rendered. This allows for potential spoofing but the effects are mitigated due to the restrictions reader mode places when rendering content.,[1195976]
02.38,['CVE-2015-4503'],2015-97,Memory leak in mozTCPSocket to servers,David Chan,Moderate,Security researcher David Chan reported that Mozilla's mozTCPSocket implementation could leak data past the end of an array allowing for the potential exposure of memory or private data to malicious servers.,[994337]
02.38,['CVE-2015-4506'],2015-101,Buffer overflow in libvpx while parsing vp9 format video,Khalil Zhani,Moderate,Security researcher Khalil Zhani reported that a maliciously crafted vp9 format video could be used to trigger a buffer overflow while parsing the file. This leads to a potentially exploitable crash due to a flaw in the libvpx library.,[1192226]
02.38,"['CVE-2015-7178', 'CVE-2015-7179']",2015-113,Memory safety errors in libGLES in the ANGLE graphics library,Ronald Crane,Critical,Security researcher Ronald Crane reported two issues in the libGLES portions of the ANGLE graphics library used for WebGL and OpenGL content on Windows systems. The first of these is a missing bounds check leading to memory safety errors when manipulating shaders which could result in the writing to unowned memory. The second issue also affects shaders when insufficient memory is allocated for a shader attribute array leading to a buffer overflow. Both of these issues can lead to a potentially exploitable crash.,"[1189860, 1190526]"
