thunderbird_version,cve_id,advisory,title,reporter,impact,description,bug_id
91.11,['CVE-2022-2226'],2022-26,An email with a mismatching OpenPGP signature date was accepted as valid,Nickolay Olshevsky,moderate,An OpenPGP digital signature includes information about the date when the signature was created. When displaying an email that contains a digital signature the email's date will be shown. If the dates were different then Thunderbird didn't report the email as having an invalid signature. If an attacker performed a replay attack in which an old email with old contents are resent at a later time it could lead the victim to believe that the statements in the email are current. Fixed versions of Thunderbird will require that the signature's date roughly matches the displayed date of the email.,[1775441]
91.11,['CVE-2022-34484'],2022-26,Memory safety bugs fixed in Thunderbird 91.11 and Thunderbird 102,Mozilla developers and community,high,The Mozilla Fuzzing Team reported potential vulnerabilities present in Thunderbird 91.10. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1763634, 1772651]"
91.11,['CVE-2022-34472'],2022-26,Unavailable PAC file resulted in OCSP requests being blocked,Laurent Bigonville,moderate,If there was a PAC URL set and the server that hosts the PAC was not reachable OCSP requests would have been blocked resulting in incorrect error pages being shown.,[1770123]
91.10,['CVE-2022-31747'],2022-22,Memory safety bugs fixed in Thunderbird 91.10,Mozilla developers and community,high,Mozilla developers Andrew McCreight Nicolas B. Pierron and the Mozilla Fuzzing Team reported memory safety bugs present in Thunderbird 91.9. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1760765, 1765610, 1766283, 1767365, 1768559, 1768734]"
91.10,['CVE-2022-31742'],2022-22,Querying a WebAuthn token with a large number of allowCredential entries may have leaked cross-origin information,Michal,moderate,An attacker could have exploited a timing attack by sending a large number of allowCredential entries and detecting the difference between invalid key handles and cross-origin key handles.  This could have led to cross-origin account linking in violation of WebAuthn goals.,[1730434]
91.10,['CVE-2022-1834'],2022-22,Braille space character caused incorrect sender email to be shown for a digitally signed email,Jonathan von Niessen,high,When displaying the sender of an email and the sender name contained the Braille Pattern Blank space character multiple times Thunderbird would have displayed all the spaces. This could have been used by an attacker to send an email message with the attacker's digital signature that was shown with an arbitrary sender email address chosen by the attacker. If the sender name started with a false email address followed by many Braille space characters the attacker's email address was not visible. Because Thunderbird compared the invisible sender address with the signature's email address if the signing key or certificate was accepted by Thunderbird the email was shown as having a valid digital signature.,[1767816]
91.10,['CVE-2022-31740'],2022-22,Register allocation problem in WASM on arm64,Gary Kwong,high,On arm64 WASM code could have resulted in incorrect assembly generation leading to a register allocation problem and a potentially exploitable crash.,[1766806]
91.10,['CVE-2022-31739'],2022-22,Attacker-influenced path traversal when saving downloaded files,Chaobin Zhang,high,When downloading files on Windows the % character was not escaped which could have lead to a download incorrectly being saved to attacker-influenced paths that used variables such as %HOMEPATH% or %APPDATA%.This bug only affects Thunderbird for Windows. Other operating systems are unaffected.,[1765049]
91.10,['CVE-2022-31738'],2022-22,Browser window spoof using fullscreen mode,Irvan Kurniawan,high,When exiting fullscreen mode an iframe could have confused the browser about the current state of fullscreen resulting in potential user confusion or spoofing attacks.,[1756388]
91.10,['CVE-2022-31741'],2022-22,Uninitialized variable leads to invalid memory read,Cybeats PSI Team,high,A crafted CMS message could have been processed incorrectly leading to an invalid memory read and potentially further memory corruption.,[1767590]
91.10,['CVE-2022-31736'],2022-22,Cross-Origin resource's length leaked,Luan Herrera,high,A malicious website could have learned the size of a cross-origin resource that supported Range requests.,[1735923]
91.10,['CVE-2022-31737'],2022-22,Heap buffer overflow in WebGL,Atte Kettunen,high,A malicious webpage could have caused an out-of-bounds write in WebGL leading to memory corruption and a potentially exploitable crash.,[1743767]
91.09,['CVE-2022-1520'],2022-18,Incorrect security status shown after viewing an attached email,Thunderbird team,low,When viewing an email message A which contains an attached message B where B is encrypted or digitally signed or both Thunderbird may show an incorrect encryption or signature status. After opening and viewing the attached message B when returning to the display of message A the message A might be shown with the security status of message B.,[1745019]
91.09,['CVE-2022-29914'],2022-18,Fullscreen notification bypass using popups,Irvan Kurniawan,high,When reusing existing popups Thunderbird would allow them to cover the fullscreen notification UI which could enable browser spoofing attacks.,[1746448]
91.09,['CVE-2022-29909'],2022-18,Bypassing permission prompt in nested browsing contexts,Armin Ebert,high,Documents in deeply-nested cross-origin browsing contexts could obtain permissions granted to the top-level origin bypassing the existing prompt and wrongfully inheriting the top-level permissions.,[1755081]
91.09,['CVE-2022-29916'],2022-18,Leaking browser history with CSS variables,Mateusz Sionkowski,high,Thunderbird would behave slightly differently for already known resources when loading CSS resources through resolving CSS variables. This could be used to probe the browser history.,[1760674]
91.09,['CVE-2022-29911'],2022-18,iframe sandbox bypass,Trung Pham,high,An improper implementation of the new iframe sandbox keyword allow-top-navigation-by-user-activation could lead to script execution without allow-scripts being present.,[1761981]
91.09,['CVE-2022-29912'],2022-18,Reader mode bypassed SameSite cookies,Matheus Vrech,moderate,Requests initiated through reader mode did not properly omit cookies with a SameSite attribute.,[1692655]
91.09,['CVE-2022-29917'],2022-18,Memory safety bugs fixed in Thunderbird 91.9,Mozilla developers,high,Mozilla developers Gabriele Svelto Tom Ritter and the Mozilla Fuzzing Team reported memory safety bugs present in Thunderbird 91.8. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1684739, 1706441, 1753298, 1762614, 1762620]"
91.09,['CVE-2022-29913'],2022-18,Speech Synthesis feature not properly disabled,Andrew McCreight,moderate,The parent process would not properly check whether the Speech Synthesis feature is enabled when receiving instructions from a child process.,[1764778]
91.08,['CVE-2022-1097'],2022-15,Use-after-free in NSSToken objects,Randell Jesup,high,NSSToken objects were referenced via direct points and could have been accessed in an unsafe way on different threads leading to a use-after-free and potentially exploitable crash.,[1745667]
91.08,['CVE-2022-28281'],2022-15,Out of bounds write due to unexpected WebAuthN Extensions,Axel '0vercl0k' Souchet,high,If a compromised content process sent an unexpected number of WebAuthN Extensions in a Register command to the parent process an out of bounds write would have occurred leading to memory corruption and a potentially exploitable crash.,[1755621]
91.08,['CVE-2022-1196'],2022-15,Use-after-free after VR Process destruction,bo13oy of Cyber Kunlun Lab,moderate,After a VR Process is destroyed a reference to it may have been retained and used leading to a use-after-free and potentially exploitable crash.,[1750679]
91.08,['CVE-2022-28282'],2022-15,Use-after-free in DocumentL10n::TranslateDocument,Kirin,moderate,"By using a link with rel=""localization"" a use-after-free could have been triggered by destroying an object during JavaScript execution and then referencing the object through a freed pointer leading to a potential exploitable crash.",[1751609]
91.08,['CVE-2022-28285'],2022-15,Incorrect AliasSet used in JIT Codegen,Lukas Bernhard,moderate,When generating the assembly code for MLoadTypedArrayElementHole an incorrect AliasSet was used. In conjunction with another vulnerability this could have been used for an out of bounds memory read.,[1756957]
91.08,['CVE-2022-28286'],2022-15,iframe contents could be rendered outside the border,prada960808,low,Due to a layout change iframe contents could have been rendered outside of its border. This could have led to user confusion or spoofing attacks.,[1735265]
91.08,['CVE-2022-24713'],2022-15,Denial of Service via complex regular expressions,Addison Crump and Jan-Erik Rediger,low,The rust regex crate did not properly prevent crafted regular expressions from taking an arbitrary amount of time during parsing. If an attacker was able to supply input to this crate they could have caused a denial of service in the browser.,[1758509]
91.08,['CVE-2022-28289'],2022-15,Memory safety bugs fixed in Thunderbird 91.8,Mozilla developers and community,high,Mozilla developers and community members Nika Layzell Andrew McCreight Gabriele Svelto and the Mozilla Fuzzing Team reported memory safety bugs present in Thunderbird 91.7. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1663508, 1744525, 1753508, 1757476, 1757805, 1758549, 1758776]"
91.08,['CVE-2022-1197'],2022-15,OpenPGP revocation information was ignored,Thunderbird user Johannes König,moderate,When importing a revoked key that specified key compromise as the revocation reason Thunderbird did not update the existing copy of the key that was not yet revoked and the existing key was kept as non-revoked. Revocation statements that used another revocation reason or that didn't specify a revocation reason were unaffected.,[1754985]
91.07,['CVE-2022-26381'],2022-12,Use-after-free in text reflows,Mozilla Fuzzing Team and Hossein Lotfi of Trend Micro Zero Day Initiative,high,An attacker could have caused a use-after-free by forcing a text reflow in an SVG object leading to a potentially exploitable crash.,[1736243]
91.07,['CVE-2022-26386'],2022-12,Temporary files downloaded to /tmp and accessible by other local users,attila,low,Previously Thunderbird for macOS and Linux would download temporary files to a user-specific directory in /tmp but this behavior was changed to download them to /tmp where they could be affected by other local users.  This behavior was reverted to the original user-specific directory. This bug only affects Thunderbird for macOS and Linux. Other operating systems are unaffected.,[1752396]
91.07,['CVE-2022-26384'],2022-12,iframe allow-scripts sandbox bypass,Ed McManus,high,If an attacker could control the contents of an iframe sandboxed with allow-popups but not allow-scripts they were able to craft a link that when clicked would lead to JavaScript execution in violation of the sandbox.,[1744352]
91.07,['CVE-2022-26383'],2022-12,Browser window spoof using fullscreen mode,Irvan Kurniawan,high,When resizing a popup after requesting fullscreen access the popup would not display the fullscreen notification.,[1742421]
91.07,['CVE-2022-26387'],2022-12,Time-of-check time-of-use bug when verifying add-on signatures,Armin Ebert,high,When installing an add-on Thunderbird verified the signature before prompting the user; but while the user was confirming the prompt the underlying add-on file could have been modified and Thunderbird would not have noticed.,[1752979]
91.06,['CVE-2022-22764'],2022-06,Memory safety bugs fixed in Thunderbird 91.6,Mozilla developers and community,high,Mozilla developers and community members Paul Adenot and the Mozilla Fuzzing Team reported memory safety bugs present in Thunderbird 91.5. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1742682, 1744165, 1746545, 1748210, 1748279]"
91.06,['CVE-2022-22763'],2022-06,Script Execution during invalid object state,Mozilla Fuzzing Team,moderate,When a worker is shutdown it was possible to cause script to run late in the lifecycle at a point after where it should not be possible.,[1740534]
91.06,['CVE-2022-22753'],2022-06,Privilege Escalation to SYSTEM on Windows via Maintenance Service,Seb Patane,high,A Time-of-Check Time-of-Use bug existed in the Maintenance (Updater) Service that could be abused to grant Users write access to an arbitrary directory. This could have been used to escalate to SYSTEM access.This bug only affects Thunderbird on Windows. Other operating systems are unaffected.,[1732435]
91.06,['CVE-2022-22754'],2022-06,Extensions could have bypassed permission confirmation during update,Rob Wu,high,If a user installed an extension of a particular type the extension could have auto-updated itself and while doing so bypass the prompt which grants the new version the new requested permissions.,[1750565]
91.06,['CVE-2022-22756'],2022-06,Drag and dropping an image could have resulted in the dropped object being an executable,Abdulrahman Alqabandi,moderate,If a user was convinced to drag and drop an image to their desktop or other folder the resulting object could have been changed into an executable script which would have run arbitrary code after the user clicked on it.,[1317873]
91.06,['CVE-2022-22759'],2022-06,Sandboxed iframes could have executed script if the parent appended elements,Johan Carlsson,moderate,If a document created a sandboxed iframe without allow-scripts and subsequently appended an element to the iframe's document that e.g. had a JavaScript event handler - the event handler would have run despite the iframe's sandbox.,[1739957]
91.06,['CVE-2022-22760'],2022-06,Cross-Origin responses could be distinguished between script and non-script content-types,Luan Herrera,moderate,When importing resources using Web Workers error messages would distinguish the difference between application/javascript responses and non-script responses.  This could have been abused to learn information cross-origin.,"[1740985, 1748503]"
91.06,['CVE-2022-22761'],2022-06,frame-ancestors Content Security Policy directive was not enforced for framed extension pages,Mart Gil Robles (Mart at FlowCrypt),moderate,Web-accessible extension pages (pages with a moz-extension:// scheme) were not correctly enforcing the frame-ancestors directive when it was used in the Web Extension's Content Security Policy.,[1745566]
91.05,['CVE-2022-22740'],2022-03,Use-after-free of ChannelEventQueue::mOwner,bo13oy of Cyber Kunlun Lab,high,Certain network request objects were freed too early when releasing a network request handle. This could have lead to a use-after-free causing a potentially exploitable crash.,[1742334]
91.05,['CVE-2022-22739'],2022-03,Missing throttling on external protocol launch dialog,Alesandro Ortiz,low,Malicious websites could have tricked users into accepting launching a program to handle an external URL protocol.,[1744158]
91.05,['CVE-2022-22737'],2022-03,Race condition when playing audio files,bo13oy of Cyber Kunlun Lab,high,Constructing audio sinks could have lead to a race condition when playing audio files and closing windows. This could have lead to a use-after-free causing a potentially exploitable crash.,[1745874]
91.05,['CVE-2021-4140'],2022-03,Iframe sandbox bypass with XSLT,Peter Van der Beken,high,It was possible to construct specific XSLT markup that would be able to bypass an iframe sandbox.,[1746720]
91.05,['CVE-2022-22748'],2022-03,Spoofed origin on external protocol launch dialog,Alesandro Ortiz,moderate,Malicious websites could have confused Firefox into showing the wrong origin when asking to launch a program and handling an external URL protocol.,[1705211]
91.05,['CVE-2022-22745'],2022-03,Leaking cross-origin URLs through securitypolicyviolation event,Jannis Rautenstrauch,moderate,Securitypolicyviolation events could have leaked cross-origin information for frame-ancestors violations,[1735856]
91.05,['CVE-2022-22744'],2022-03,The 'Copy as curl' feature in DevTools did not fully escape website-controlled data potentially leading to command injection,Mattias Jacobsson,moderate,"The constructed curl command from the ""Copy as curl"" feature in DevTools was not properly escaped for PowerShell.  This could have lead to command injection if pasted into a Powershell prompt.This bug only affects Thunderbird for Windows. Other operating systems are unaffected.",[1737252]
91.05,['CVE-2022-22746'],2022-03,Calling into reportValidity could have lead to fullscreen window spoof,Irvan Kurniawan,high,A race condition could have allowed bypassing the fullscreen notification which could have lead to a fullscreen window spoof being unnoticed.This bug only affects Firefox for Windows. Other operating systems are unaffected.,[1735071]
91.05,['CVE-2022-22747'],2022-03,Crash when handling empty pkcs7 sequence,Tavis Ormandy,low,After accepting an untrusted certificate handling an empty pkcs7 sequence as part of the certificate data could have lead to a crash. This crash is believed to be unexploitable.,[1735028]
91.05,['CVE-2022-22751'],2022-03,Memory safety bugs fixed in Thunderbird 91.5,Mozilla developers and community,high,Mozilla developers Calixte Denizet Kershaw Chang Christian Holler Jason Kratzer Gabriele Svelto Tyson Smith Simon Giesecke and Steve Fink reported memory safety bugs present in Firefox 95 and Firefox ESR 91.4. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1664149, 1737816, 1739366, 1740274, 1740797, 1741201, 1741869, 1743221, 1743515, 1745373, 1746011]"
91.05,['CVE-2022-22741'],2022-03,Browser window spoof using fullscreen mode,Irvan Kurniawan,high,When resizing a popup while requesting fullscreen access the popup would have become unable to leave fullscreen mode.,[1740389]
91.05,['CVE-2022-22742'],2022-03,Out-of-bounds memory access when inserting text in edit mode,Irvan Kurniawan,high,When inserting text while in edit mode some characters might have lead to out-of-bounds memory access causing a potentially exploitable crash.,[1739923]
91.05,['CVE-2022-22743'],2022-03,Browser window spoof using fullscreen mode,Irvan Kurniawan,high,When navigating from inside an iframe while requesting fullscreen access an attacker-controlled tab could have made the browser unable to leave fullscreen mode.,[1739220]
91.05,['CVE-2022-22738'],2022-03,Heap-buffer-overflow in blendGaussianBlur,Atte Kettunen,high,Applying a CSS filter effect could have accessed out of bounds memory. This could have lead to a heap-buffer-overflow causing a potentially exploitable crash.,[1742382]
91.04,['CVE-2021-43541'],2021-54,External protocol handler parameters were unescaped,chriscla,moderate,When invoking protocol handlers for external protocols a supplied parameter URL containing spaces was not properly escaped.,[1696685]
91.04,['CVE-2021-43546'],2021-54,Cursor spoofing could overlay user interface when native cursor is zoomed,Daniel Veditz,low,It was possible to recreate previous cursor spoofing attacks against users with a zoomed native cursor.,[1737751]
91.04,['CVE-2021-43545'],2021-54,Denial of Service when using the Location API in a loop,Paul Zühlcke,low,Using the Location API in a loop could have caused severe application hangs and crashes.,[1720926]
91.04,['CVE-2021-43536'],2021-54,URL leakage when navigating while executing asynchronous function,Sunwoo Kim and Youngmin Kim of SNU CompSec Lab,high,Under certain circumstances asynchronous functions could have caused a navigation to fail but expose the target URL.,[1730120]
91.04,['CVE-2021-43537'],2021-54,Heap buffer overflow when using structured clone,bo13oy of Cyber Kunlun Lab,high,An incorrect type conversion of sizes from 64bit to 32bit integers allowed an attacker to corrupt memory leading to a potentially exploitable crash.,[1738237]
91.04,['CVE-2021-43538'],2021-54,Missing fullscreen and pointer lock notification when requesting both,Irvan Kurniawan (@sourc7),high,By misusing a race in our notification code an attacker could have forcefully hidden the notification for pages that had received full screen and pointer lock access which could have been used for spoofing attacks.,[1739091]
91.04,['CVE-2021-43539'],2021-54,GC rooting failure when calling wasm instance methods,Asumu Takikawa and Ioanna Dimitriou,high,Failure to correctly record the location of live pointers across wasm instance calls resulted in a GC occurring within the call not tracing those live pointers. This could have led to a use-after-free causing a potentially exploitable crash.,[1739683]
91.04,['CVE-2021-43542'],2021-54,XMLHttpRequest error codes could have leaked the existence of an external protocol handler,Raphael Smolik,moderate,Using XMLHttpRequest an attacker could have identified installed applications by probing error messages for loading external protocols.,[1723281]
91.04,['CVE-2021-43528'],2021-54,JavaScript unexpectedly enabled for the composition area,Pedro Batista,low,Thunderbird unexpectedly enabled JavaScript in the composition area. The JavaScript execution context was limited to this area and did not receive chrome-level privileges but could be used as a stepping stone to further an attack with other vulnerabilities.,[1742579]
91.04,['CVE-2021-43543'],2021-54,Bypass of CSP sandbox directive when embedding,Armin Ebert,moderate,Documents loaded with the CSP sandbox directive could have escaped the sandbox's script restriction by embedding additional content.,[1738418]
91.04,['CVE-2021-4129'],2021-54,Memory safety bugs fixed in Thunderbird 91.4.0,Mozilla developers and community,high,Mozilla developers and community members Julian Hector Randell Jesup Gabriele Svelto Tyson Smith Christian Holler and Masayuki Nakano reported memory safety bugs present in Thunderbird 91.3. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1393362, 1736046, 1736751, 1737009, 1739372, 1739421]"
91.03,['CVE-2021-38506'],2021-50,Thunderbird could be coaxed into going into fullscreen mode without notification or warning,Irvan Kurniawan,high,Through a series of web navigations Thunderbird could have entered fullscreen mode without notification or warning to the user. This could lead to spoofing attacks on the browser UI including phishing.,[1730750]
91.03,['CVE-2021-38510'],2021-50,Download Protections were bypassed by .inetloc files on Mac OS,Hou JingYi,moderate,The executable file warning was not presented when downloading .inetloc files which due to a flaw in Mac OS can run commands on a user's computer.Note: This issue only affected Mac OS operating systems. Other operating systems are unaffected.,[1731779]
91.03,['CVE-2021-38508'],2021-50,Permission Prompt could be overlaid resulting in user confusion and potential spoofing,Raphael,moderate,By displaying a form validity message in the correct location at the same time as a permission prompt (such as for geolocation) the validity message could have obscured the prompt resulting in the user potentially being tricked into granting the permission.,[1366818]
91.03,['CVE-2021-43535'],2021-50,Use-after-free in HTTP2 Session object,Julien Cristau,high,A use-after-free could have occured when an HTTP2 session object was released on a different thread leading to memory corruption and a potentially exploitable crash.,[1667102]
91.03,['CVE-2021-38507'],2021-50,Opportunistic Encryption in HTTP2 could be used to bypass the Same-Origin-Policy on services hosted on other ports,Takeshi Terada,high,The Opportunistic Encryption feature of HTTP2 (RFC 8164) allows a connection to be transparently upgraded to TLS while retaining the visual properties of an HTTP connection including being same-origin with unencrypted connections on port 80.  However if a second encrypted port on the same IP address (e.g. port 8443) did not opt-in to opportunistic encryption; a network attacker could forward a connection from the browser to port 443 to port 8443 causing the browser to treat the content of port 8443 as same-origin with HTTP.  This was resolved by disabling the Opportunistic Encryption feature which had low usage.,[1730935]
91.03,['CVE-2021-38509'],2021-50,Javascript alert box could have been spoofed onto an arbitrary domain,Ademar Nowasky Junior,moderate,Due to an unusual sequence of attacker-controlled events a Javascript alert() dialog with arbitrary (although unstyled) contents could be displayed over top an uncontrolled webpage of the attacker's choosing.,[1718571]
91.03,['CVE-2021-38505'],2021-50,Windows 10 Cloud Clipboard may have recorded sensitive user data,Sergey Galich,high,Microsoft introduced a new feature in Windows 10 known as Cloud Clipboard which if enabled will record data copied to the clipboard to the cloud and make it available on other computers in certain scenarios. Applications that wish to prevent copied data from being recorded in Cloud History must use specific clipboard formats; and Thunderbird before version 91.3 did not implement them. This could have caused sensitive data to be recorded to a user's Microsoft account.This bug only affects Thunderbird for Windows 10+ with Cloud Clipboard enabled. Other operating systems are unaffected.,[1730194]
91.03,['CVE-2021-38504'],2021-50,Use-after-free in file picker dialog,Irvan Kurniawan,high,When interacting with an HTML input element's file picker dialog with webkitdirectory set a use-after-free could have resulted leading to memory corruption and a potentially exploitable crash.,[1730156]
91.03,['CVE-2021-38503'],2021-50,iframe sandbox rules did not apply to XSLT stylesheets,Armin Ebert,high,The iframe sandbox rules were not correctly applied to XSLT stylesheets allowing an iframe to bypass restrictions such as executing scripts or navigating the top-level frame.,[1729517]
91.03,['CVE-2021-43534'],2021-50,Memory safety bugs fixed in Thunderbird ESR 91.3,Mozilla developers,high,Mozilla developers and community members Christian Holler Valentin Gosu and Andrew McCreight reported memory safety bugs present in Thunderbird 91.2. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1606864, 1712671, 1730048, 1735152]"
91.02,['CVE-2022-26486'],2022-09,Use-after-free in WebGPU IPC Framework,"Wang Gang, Liu Jialei, Du Sihang, Huang Yi & Yang Kang of 360 ATA",critical,An unexpected message in the WebGPU IPC framework could lead to a use-after-free and exploitable sandbox escape.  We have had reports of attacks in the wild abusing this flaw.,[1758070]
91.02,['CVE-2022-26485'],2022-09,Use-after-free in XSLT parameter processing,"Wang Gang, Liu Jialei, Du Sihang, Huang Yi & Yang Kang of 360 ATA",critical,Removing an XSLT parameter during processing could have lead to an exploitable use-after-free. We have had reports of attacks in the wild abusing this flaw.,[1758062]
91.02,['CVE-2021-38502'],2021-47,Downgrade attack on SMTP STARTTLS connections,Mattias Jacobsson,high,Thunderbird ignored the configuration to require STARTTLS security for an SMTP connection. A MITM could perform a downgrade attack to intercept transmitted messages or could take control of the authenticated session to execute SMTP commands chosen by the MITM. If an unprotected authentication method was configured the MITM could obtain the authentication credentials too.,[1733366]
91.02,['CVE-2021-38496'],2021-47,Use-after-free in MessageTask,Yangkang of 360 ATA Team,high,During operations on MessageTasks a task may have been removed while it was still scheduled resulting in memory corruption and a potentially exploitable crash.,[1725335]
91.02,['CVE-2021-38497'],2021-47,Validation message could have been overlaid on another origin,Irvan Kurniawan,moderate,Through use of reportValidity() and window.open() a plain-text validation message could have been overlaid on another origin leading to possible user confusion and spoofing attacks.,[1726621]
91.02,['CVE-2021-38498'],2021-47,Use-after-free of nsLanguageAtomService object,Yangkang of 360 ATA Team,moderate,During process shutdown a document could have caused a use-after-free of a languages service object leading to memory corruption and a potentially exploitable crash.,[1729642]
91.02,['CVE-2021-32810'],2021-47,Data race in crossbeam-deque,Maor Kleinberger,moderate,In the crossbeam crate one or more tasks in the worker queue could have been be popped twice instead of other tasks that are forgotten and never popped. If tasks are allocated on the heap this could have caused a double free and a memory leak.,[1729813]
91.02,['CVE-2021-38500'],2021-47,Memory safety bugs fixed in Thunderbird 91.2,Mozilla developers,high,Mozilla developers and community members Andreas Pehrson and Christian Holler reported memory safety bugs present in Thunderbird 91.1. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1725854, 1728321]"
91.02,['CVE-2021-38501'],2021-47,Memory safety bugs fixed in Thunderbird 91.2,Mozilla developers,high,Mozilla developers and community members Kevin Brosnan Mihai Alexandru Michis and Christian Holler reported memory safety bugs present in Thunderbird 91.1. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1685354, 1715755, 1723176]"
91.01,['CVE-2021-38495'],2021-41,Memory safety bugs fixed in Thunderbird 91.1,Mozilla developers and community,high,Mozilla developers Tyson Smith Christian Holler and Gabriele Svelto reported memory safety bugs present in Thunderbird 78.13.0. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1723391, 1723920, 1724101, 1724107]"
91.01,['CVE-2021-29991'],2021-37,Header Splitting possible with HTTP/3 Responses,Youssef Sammouda,high,Firefox incorrectly accepted a newline in a HTTP/3 header interpretting it as two separate headers. This allowed for a header splitting attack against servers using HTTP/3.,[1724896]
91.01,['CVE-2021-38492'],2021-41,Navigating to `mk:` URL scheme could load Internet Explorer,James Lee,moderate,When delegating navigations to the operating system Thunderbird would accept the mk scheme which might allow attackers to launch pages and execute scripts in Internet Explorer in unprivileged mode. This bug only affects Thunderbird for Windows. Other operating systems are unaffected.,[1721107]
91.01,['CVE-2021-44538'],2021-55,Matrix chat library libolm bundled with Thunderbird vulnerable to a buffer overflow,brevilo,moderate,Thunderbird users who use the Matrix chat protocol were vulnerable to a buffer overflow in libolm that an attacker may trigger by a crafted sequence of  messages. The overflow content is partially controllable by the attacker and limited to ASCII spaces and digits.,[1744056]
91.01,['CVE-2022-0566'],2022-07,Crafted email could trigger an out-of-bounds write,Mozilla Fuzzing Team,high,It may be possible for an attacker to craft an email message that causes Thunderbird to perform an out-of-bounds write of one byte when processing the message.,[1753094]
91.01,['CVE-2022-1529'],2022-19,Untrusted input used in JavaScript object indexing leading to prototype pollution,Manfred Paul via Trend Micro's Zero Day Initiative,critical,An attacker could have sent a message to the parent process where the contents were used to double-index into a JavaScript object leading to prototype pollution and ultimately attacker-controlled JavaScript executing in the privileged parent process.,[1770048]
