firefox_version,cve_id,advisory,title,reporter,impact,description,bug_id
86,['CVE-2021-23977'],2021-07,Malicious application could read sensitive data from Firefox for Android's application directories,fatal0,moderate,Firefox for Android suffered from a time-of-check-time-of-use vulnerability that allowed a malicious application to read sensitive data from application directories.Note: This issue is only affected Firefox for Android. Other operating systems are unaffected.,[1684761]
86,['CVE-2021-23979'],2021-07,Memory safety bugs fixed in Firefox 86,Mozilla developers,high,Mozilla developers Tyson Smith Lars T Hansen Valentin Gosu and Sebastian Hengst reported memory safety bugs present in Firefox 85. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1663222, 1666607, 1672120, 1678463, 1678927, 1679560, 1681297, 1681684, 1683490, 1684377, 1684902]"
86,['CVE-2021-23978'],2021-07,Memory safety bugs fixed in Firefox 86 and Firefox ESR 78.8,Mozilla developers and community,high,Mozilla developers Alexis Beingessner Tyson Smith Nika Layzell and Mats Palmgren reported memory safety bugs present in Firefox 85 and Firefox ESR 78.7. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[786797, 1682928, 1687391, 1687597]"
86,['CVE-2021-23973'],2021-07,MediaError message property could have leaked information about cross-origin resources,Andreas Pehrson,low,When trying to load a cross-origin resource in an audio/video context a decoding error may have resulted and the content of that error may have revealed information about the resource.,[1690976]
86,['CVE-2021-23975'],2021-07,about:memory Measure function caused an incorrect pointer operation,Brian Carpenter of Geeknik Labs & Farm,low,The developer page about:memory has a Measure function for exploring what object types the browser has allocated and their sizes. When this function was invoked we incorrectly called the sizeof function instead of using the API method that checks for invalid pointers.,[1685145]
86,['CVE-2021-23972'],2021-07,HTTP Auth phishing warning was omitted when a redirect is cached,Vijay Tikudave,low,One phishing tactic on the web is to provide a link with HTTP Auth. For example https://www.phishingtarget.com@evil.com. To mitigate this type of attack Firefox will display a warning dialog; however this warning dialog would not have been displayed if evil.com used a redirect that was cached by the browser.,[1683536]
86,['CVE-2021-23976'],2021-07,Local spoofing of web manifests for arbitrary pages in Firefox for Android,Muneaki Nishimura,moderate,When accepting a malicious intent from other installed apps Firefox for Android accepted manifests from arbitrary file paths and allowed declaring webapp manifests for other origins. This could be used to gain fullscreen access for UI spoofing and could also lead to cross-origin attacks on targeted websites.Note: This issue is a different issue from CVE-2020-26954 and only affected Firefox for Android. Other operating systems are unaffected.,[1684627]
86,['CVE-2021-23971'],2021-07,A website's Referrer-Policy could have been be overridden potentially resulting in the full URL being sent as a Referrer,Luca Moretto,moderate,When processing a redirect with a conflicting Referrer-Policy Firefox would have adopted the redirect's Referrer-Policy. This would have potentially resulted in more information than intended by the original origin being provided to the destination of the redirect.,[1678545]
86,['CVE-2021-23974'],2021-07,noscript elements could have led to an HTML Sanitizer bypass,Masato Kinugawa and Michał Bentkowski,moderate,The DOMParser API did not properly process <noscript> elements for escaping. This could be used as an mXSS vector to bypass an HTML Sanitizer.,"[1528997, 1683627]"
86,['CVE-2021-23968'],2021-07,Content Security Policy violation report could have contained the destination of a redirect,Ademar Nowasky Junior,high,If Content Security Policy blocked frame navigation the full destination of a redirect served in the frame was reported in the violation report; as opposed to the original frame URI. This could be used to leak sensitive information contained in such URIs.,[1687342]
86,['CVE-2021-23970'],2021-07,Multithreaded WASM triggered assertions validating separation of script domains,J. Ryan Stinnett,high,Context-specific code was included in a shared jump table; resulting in assertions being triggered in multithreaded wasm code.,[1681724]
86,['CVE-2021-23969'],2021-07,Content Security Policy violation report could have contained the destination of a redirect,Masato Kinugawa,high,"As specified in the W3C Content Security Policy draft when creating a violation report ""User agents need to ensure that the source file is the URL requested by the page pre-redirects. If that’s not possible user agents need to strip the URL down to an origin to avoid unintentional leakage."" Under certain types of redirects Firefox incorrectly set the source file to be the destination of the redirects. This was fixed to be the redirect destination's origin.",[1542194]
85.0.1,['CVE-2020-16048'],2021-06,Buffer overflow in depth pitch calculations for compressed textures,Abraruddin Khan and Omair working with Trend Micro Zero Day Initiative,critical,In the Angle graphics library depth pitch computations did not take into account the block size and simply multiplied the row pitch with the pixel height.  This caused the load functions to use a very high depth pitch reading past the end of the user-supplied buffer.Note: This issue only affected Windows operating systems. Other operating systems are unaffected.,[1676636]
85,['CVE-2021-23960'],2021-03,Use-after-poison for incorrectly redeclared JavaScript variables during GC,Irvan Kurniawan,moderate,Performing garbage collection on re-declared JavaScript variables resulted in a user-after-poison and a potentially exploitable crash.,[1675755]
85,['CVE-2021-23965'],2021-03,Memory safety bugs fixed in Firefox 85,Mozilla developers and community,high,Mozilla developers Sebastian Hengst Christian Holler Tyson Smith reported memory safety bugs present in Firefox 84. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1670378, 1673555, 1676812, 1678582, 1684497]"
85,['CVE-2021-23964'],2021-03,Memory safety bugs fixed in Firefox 85 and Firefox ESR 78.7,Mozilla developers and community,high,Mozilla developers Andrew McCreight Tyson Smith Jesse Schwartzentruber Jon Coppeard Byron Campen André Bargull Steve Fink Jason Kratzer Christian Holler Alexis Beingessner reported memory safety bugs present in Firefox 84 and Firefox ESR 78.6. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1662507, 1666285, 1673526, 1674278, 1674835, 1675097, 1675844, 1675868, 1677590, 1677888, 1680410, 1681268, 1682068, 1682938, 1683736, 1685260, 1685925]"
85,['CVE-2021-23963'],2021-03,Permission prompt inaccessible after asking for additional permissions,Paul Zühlcke,low,When sharing geolocation during an active WebRTC share Firefox could have reset the webRTC sharing state in the user interface leading to loss of control over the currently granted permission,[1680793]
85,['CVE-2021-23962'],2021-03,Use-after-poison in <code>nsTreeBodyFrame::RowCountChanged</code>,Chiaki ISHIKAWA,low,Incorrect use of the RowCountChanged method could have led to a user-after-poison and a potentially exploitable crash.,[1677194]
85,['CVE-2021-23961'],2021-03,More internal network hosts could have been probed by a malicious webpage,"Samy Kamkar, Ben Seri, and Gregory Vishnepolsky",moderate,Further techniques that built on the slipstream research combined with a malicious webpage could have exposed both an internal network's hosts as well as services running on the user's local machine.,[1677940]
85,['CVE-2021-23955'],2021-03,Clickjacking across tabs through misusing requestPointerLock,Irvan Kurniawan,high,The browser could have been confused into transferring a pointer lock state into another tab which could have lead to clickjacking attacks.,[1684837]
85,['CVE-2021-23959'],2021-03,Cross-Site Scripting in error pages on Firefox for Android,Muneaki Nishimura,moderate,An XSS bug in internal error pages could have led to various spoofing attacks including other error pages and the address bar.Note: This issue only affected Firefox for Android. Other operating systems are unaffected.,[1659035]
85,['CVE-2021-23957'],2021-03,Iframe sandbox could have been bypassed on Android via the intent URL scheme,Eliya Stein,moderate,Navigations through the Android-specific intent URL scheme could have been misused to escape iframe sandbox.Note: This issue only affected Firefox for Android. Other operating systems are unaffected.,[1584582]
85,['CVE-2021-23956'],2021-03,File picker dialog could have been used to disclose a complete directory,Abdulrahman Alqabandi,moderate,An ambiguous file picker design could have confused users who intended to select and upload a single file into uploading a whole directory. This was addressed by adding a new prompt.,[1338637]
85,['CVE-2021-23953'],2021-03,Cross-origin information leakage via redirected PDF requests,Rob Wu,high,If a user clicked into a specifically crafted PDF the PDF reader could be confused into leaking cross-origin information when said information is served as chunked data.,[1683940]
85,['CVE-2021-23954'],2021-03,Type confusion when using logical assignment operators in JavaScript switch statements,Gary Kwong,high,Using the new logical assignment operators in a JavaScript switch statement could have caused a type confusion leading to a memory corruption and a potentially exploitable crash.,[1684020]
85,['CVE-2021-23958'],2021-03,Screen sharing permission leaked across tabs,Jan-Ivar Bruaroey,moderate,The browser could have been confused into transferring a screen sharing state into another tab which would leak unintended information.,[1642747]
84.0.2,['CVE-2020-16044'],2021-01,Use-after-free write when handling a malicious COOKIE-ECHO SCTP chunk,Ned Williamson,critical,A malicious peer could have modified a COOKIE-ECHO chunk in a SCTP packet in a way that potentially resulted in a use-after-free. We presume that with enough effort it could have been exploited to run arbitrary code.,[1683964]
84,['CVE-2020-26977'],2020-54,URL spoofing via unresponsive port in Firefox for Android,andrew g,moderate,By attempting to connect a website using an unresponsive port an attacker could have controlled the content of a tab while the URL bar displayed the original domain. Note: This issue only affects Firefox for Android. Other operating systems are unaffected.,[1676311]
84,['CVE-2020-35114'],2020-54,Memory safety bugs fixed in Firefox 84,Mozilla developers,high,Mozilla developers Christian Holler Jan-Ivar Bruaroey and Gabriele Svelto reported memory safety bugs present in Firefox 83. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1607449, 1640416, 1656459, 1669914, 1673567]"
84,['CVE-2020-35113'],2020-54,Memory safety bugs fixed in Firefox 84 and Firefox ESR 78.6,Christian Holler,high,Mozilla developer Christian Holler reported memory safety bugs present in Firefox 83 and Firefox ESR 78.5. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1664831, 1673589]"
84,['CVE-2020-35112'],2020-54,Opening an extension-less download may have inadvertently launched an executable instead,Samuel Attard via the Chrome Security Team,low,"If a user downloaded a file lacking an extension on Windows and then ""Open""-ed it from the downloads panel if there was an executable file in the downloads directory with the same name but with an executable extension (such as .bat or .exe) that executable would have been launched instead.Note: This issue only affected Windows operating systems. Other operating systems are unaffected.",[1661365]
84,['CVE-2020-35111'],2020-54,The proxy.onRequest API did not catch view-source URLs,Yassine Tioual,low,When an extension with the proxy permission registered to receive <all_urls> the proxy.onRequest callback was not triggered for view-source URLs. While web content cannot navigate to such URLs a user opening View Source could have inadvertently leaked their IP address.,[1657916]
84,['CVE-2020-26979'],2020-54,When entering an address in the address or search bars a website could have redirected the user before they were navigated to the intended url,David Schütz,low,When a user typed a URL in the address bar or the search bar and quickly hit the enter key a website could sometimes capture that event and then redirect the user before navigation occurred to the desired entered address. To construct a convincing spoof the attacker would have had to guess what the user was typing perhaps by suggesting it.,"[1641287, 1673299]"
84,['CVE-2020-26978'],2020-54,Internal network hosts could have been probed by a malicious webpage,"Samy Kamkar, Ben Seri, and Gregory Vishnepolsky",moderate,Using techniques that built on the slipstream research a malicious webpage could have exposed both an internal network's hosts as well as services running on the user's local machine.,[1677047]
84,['CVE-2020-26976'],2020-54,HTTPS pages could have been intercepted by a registered service worker when they should not have been,Andrew Sutherland,moderate,When a HTTPS pages was embedded in a HTTP page and there was a service worker registered for the former the service worker could have intercepted the request for the secure page despite the iframe not being a secure context due to the (insecure) framing.,[1674343]
84,['CVE-2020-26974'],2020-54,Incorrect cast of StyleGenericFlexBasis resulted in a heap use-after-free,Pham Bao of VinCSS (Member of Vingroup),high,When flex-basis was used on a table wrapper a StyleGenericFlexBasis object could have been incorrectly cast to the wrong type. This resulted in a heap user-after-free memory corruption and a potentially exploitable crash.,[1681022]
84,['CVE-2020-26973'],2020-54,CSS Sanitizer performed incorrect sanitization,Kai Engert,high,Certain input to the CSS Sanitizer confused it resulting in incorrect components being removed. This could have been used as a sanitizer bypass.,[1680084]
84,['CVE-2020-26972'],2020-54,Use-After-Free in WebGL,Brian Carpenter via the ASAN Nightly project,high,The lifecycle of IPC Actors allows managed actors to outlive their manager actors; and the former must ensure that they are not attempting to use a dead actor they have a reference to. Such a check was omitted in WebGL resulting in a use-after-free and a potentially exploitable crash.,[1671382]
84,['CVE-2020-26971'],2020-54,Heap buffer overflow in WebGL,"Omair, Abraruddin Khan",high,Certain blit values provided by the user were not properly constrained leading to a heap buffer overflow on some video drivers.,[1663466]
84,['CVE-2020-16042'],2020-54,Operations on a BigInt could have caused uninitialized memory to be exposed,André Bargull,critical,When a BigInt was right-shifted the backing store was not properly cleared allowing uninitialized memory to be read.,[1679003]
84,['CVE-2020-26975'],2020-54,Malicious applications on Android could have induced Firefox for Android into sending arbitrary attacker-specified headers,Pedro Oliveira,moderate,When a malicious application installed on the user's device broadcast an Intent to Firefox for Android arbitrary headers could have been specified leading to attacks such as abusing ambient authority or session fixation. This was resolved by only allowing certain safe-listed headers.Note: This issue only affected Firefox for Android. Other operating systems are unaffected.,[1661071]
83,['CVE-2020-26964'],2020-50,Firefox for Android's Remote Debugging via USB could have been abused by untrusted apps on older versions of Android,Muneaki Nishimura,low,If the Remote Debugging via USB feature was enabled in Firefox for Android on an Android version prior to Android 6.0 untrusted apps could have connected to the feature and operated with the privileges of the browser to read and interact with web content. The feature was implemented as a unix domain socket protected by the Android SELinux policy; however SELinux was not enforced for versions prior to 6.0. This was fixed by removing the Remote Debugging via USB feature from affected devices.Note: This issue only affected Firefox for Android. Other operating systems are unaffected.,[1658865]
83,['CVE-2020-26961'],2020-50,DoH did not filter IPv4 mapped IP Addresses,Gabriel Corona,moderate,When DNS over HTTPS is in use it intentionally filters RFC1918 and related IP ranges from the responses as these do not make sense coming from a DoH resolver. However when an IPv4 address was mapped through IPv6 these addresses were erroneously let through leading to a potential DNS Rebinding attack.,[1672528]
83,['CVE-2020-26962'],2020-50,Cross-origin iframes supported login autofill,Paul Stone,low,Cross-origin iframes that contained a login form could have been recognized by the login autofill service and populated. This could have been used in clickjacking attacks as well as be read across partitions in dynamic first party isolation.,[610997]
83,['CVE-2020-26963'],2020-50,History and Location interfaces could have been used to hang the browser,Sachin Raste,low,Repeated calls to the history and location interfaces could have been used to hang the browser. This was addressed by introducing rate-limiting to these API calls.,[1314912]
83,['CVE-2020-26968'],2020-50,Memory safety bugs fixed in Firefox 83 and Firefox ESR 78.5,Mozilla developers and community,high,Mozilla developers Randell Jesup Christian Holler Jason Kratzer Byron Campen and Steve Fink reported memory safety bugs present in Firefox 82 and Firefox ESR 78.4. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1551615, 1607762, 1656697, 1657739, 1660236, 1667912, 1671479, 1671923]"
83,['CVE-2020-26965'],2020-50,Software keyboards may have remembered typed passwords,Makoto Kato,low,"Some websites have a feature ""Show Password"" where clicking a button will change a password field into a textbook field revealing the typed password. If when using a software keyboard that remembers user input a user typed their password and used that feature the type of the password field was changed resulting in a keyboard layout change and the possibility for the software keyboard to remember the typed password.",[1661617]
83,['CVE-2020-26966'],2020-50,Single-word search queries were also broadcast to local network,tiebuchen,low,Searching for a single word from the address bar caused an mDNS request to be sent on the local network searching for a hostname consisting of that string; resulting in an information leak.Note: This issue only affected Windows operating systems. Other operating systems are unaffected.,[1663571]
83,['CVE-2020-26967'],2020-50,Mutation Observers could break or confuse Firefox Screenshots feature,Kaizer Soze,low,When listening for page changes with a Mutation Observer a malicious web page could confuse Firefox Screenshots into interacting with elements other than those that it injected into the page. This would lead to internal errors and unexpected behavior in the Screenshots code.,[1665820]
83,['CVE-2020-26960'],2020-50,Potential use-after-free in uses of nsTArray,Zijie Zhao,moderate,If the Compact() method was called on an nsTArray the array could have been reallocated without updating other pointers leading to a potential use-after-free and exploitable crash.,[1670358]
83,['CVE-2020-15999'],2020-50,Heap buffer overflow in freetype,Sergei Glazunov of Google Project Zero,moderate,In Freetype if PNG images were embedded into fonts the Load_SBit_Png function contained an integer overflow that led to a heap buffer overflow memory corruption and an exploitable crash.Note: While Project Zero did discover instances of this vulnerability being exploited in the wild against Chrome in Firefox this vulnerability is only triggerable if a rarely-used hidden preference is toggled and only affected Linux and Android operating systems. Other operating systems are unaffected; and Linux and Android are unaffected in the default configuration.,[1672223]
83,['CVE-2020-26969'],2020-50,Memory safety bugs fixed in Firefox 83,Mozilla developers and community,high,Mozilla developers Tyson Smith Aaron Klotz David Major and Jason Kratzer reported memory safety bugs present in Firefox 82. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1623920, 1651705, 1667872, 1668876]"
83,['CVE-2020-26959'],2020-50,Use-after-free in WebRequestService,Bharadwaj Machiraju,moderate,During browser shutdown reference decrementing could have occured on a previously freed object resulting in a use-after-free memory corruption and a potentially exploitable crash.,[1669466]
83,['CVE-2020-26953'],2020-50,Fullscreen could be enabled without displaying the security UI,Abdulrahman Alqabandi of Microsoft Browser Vulnerability Research,moderate,It was possible to cause the browser to enter fullscreen mode without displaying the security UI; thus making it possible to attempt a phishing attack or otherwise confuse the user.,[1656741]
83,['CVE-2020-26958'],2020-50,Requests intercepted through ServiceWorkers lacked MIME type restrictions,Moti Harmats,moderate,Firefox did not block execution of scripts with incorrect MIME types when the response was intercepted and cached through a ServiceWorker. This could lead to a cross-site script inclusion vulnerability or a Content Security Policy bypass.,[1669355]
83,['CVE-2020-26952'],2020-50,Out of memory handling of JITed inlined functions could lead to a memory corruption,Gary Kwong,high,Incorrect bookkeeping of functions inlined during JIT compilation could have led to memory corruption and a potentially exploitable crash when handling out-of-memory errors.,[1667685]
83,['CVE-2020-16012'],2020-50,Variable time processing of cross-origin images during drawImage calls,Aleksejs Popovs,moderate,When drawing a transparent image on top of an unknown cross-origin image the Skia library drawImage function took a variable amount of time depending on the content of the underlying image. This resulted in potential cross-origin information exposure of image content through timing side-channel attacks.,[1642028]
83,['CVE-2020-26951'],2020-50,Parsing mismatches could confuse and bypass security sanitizer for chrome privileged code,Irvan Kurniawan (@sourc7),high,A parsing and event loading mismatch in Firefox's SVG code could have allowed load events to fire even after sanitization. An attacker already capable of exploiting an XSS vulnerability in privileged internal pages could have used this attack to bypass our built-in sanitizer.,[1667113]
83,['CVE-2020-26954'],2020-50,Local spoofing of web manifests for arbitrary pages in Firefox for Android,Muneaki Nishimura,moderate,When accepting a malicious intent from other installed apps Firefox for Android accepted manifests from arbitrary file paths and allowed declaring webapp manifests for other origins. This could be used to gain fullscreen access for UI spoofing and could also lead to cross-origin attacks on targeted websites.Note: This issue only affected Firefox for Android. Other operating systems are unaffected.,[1657026]
83,['CVE-2020-26956'],2020-50,XSS through paste (manual and clipboard API),Irvan Kurniawan (@sourc7),moderate,In some cases removing HTML elements during sanitization would keep existing SVG event handlers and therefore lead to XSS.,[1666300]
83,['CVE-2020-26955'],2020-50,Cookies set during file downloads are shared between normal and Private Browsing Mode in Firefox for Android,Muneaki Nishimura,moderate,When a user downloaded a file in Firefox for Android if a cookie is set it would have been re-sent during a subsequent file download operation on the same domain regardless of whether the original and subsequent request were in private and non-private browsing modes.Note: This issue only affected Firefox for Android. Other operating systems are unaffected.,[1663261]
83,['CVE-2020-26957'],2020-50,OneCRL was not working in Firefox for Android,Kevin Brosnan,moderate,OneCRL was non-functional in the new Firefox for Android due to a missing service initialization. This could result in a failure to enforce some certificate revocations.Note: This issue only affected Firefox for Android. Other operating systems are unaffected.,[1667179]
82.0.3,['CVE-2020-26950'],2020-49,Write side effects in MCallGetProperty opcode not accounted for,360政企安全漏洞研究院 in Tianfu Cup 2020 International Cybersecurity Contest,critical,In certain circumstances the MCallGetProperty opcode can be emitted with unmet assumptions resulting in an exploitable use-after-free condition.,[1675905]
82,['CVE-2020-15681'],2020-45,Multiple WASM threads may have overwritten each others' stub table entries,Alon Zakai,moderate,When multiple WASM threads had a reference to a module and were looking up exported functions one WASM thread could have overwritten another's entry in a shared stub table resulting in a potentially exploitable crash.,[1666568]
82,['CVE-2020-15683'],2020-45,Memory safety bugs fixed in Firefox 82 and Firefox ESR 78.4,Mozilla developers and community,high,Mozilla developers and community members Simon Giesecke Christian Holler Philipp and Jason Kratzer reported memory safety bugs present in Firefox 81 and Firefox ESR 78.3. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1576843, 1656987, 1660954, 1662760, 1663439, 1666140]"
82,['CVE-2020-15682'],2020-45,The domain associated with the prompt to open an external protocol could be spoofed to display the incorrect origin,Lijo A.T.,low,When a link to an external protocol was clicked a prompt was presented that allowed the user to choose what application to open it in. An attacker could induce that prompt to be associated with an origin they didn't control resulting in a spoofing attack. This was fixed by changing external protocol prompts to be tab-modal while also ensuring they could not be incorrectly associated with a different origin.,[1636654]
82,['CVE-2020-15684'],2020-45,Memory safety bugs fixed in Firefox 82,Mozilla developers,high,Mozilla developers Christian Holler Sebastian Hengst Bogdan Tara and Tyson Smith reported memory safety bugs present in Firefox 81. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1653764, 1661402, 1662259, 1664257]"
82,['CVE-2020-15680'],2020-45,Presence of external protocol handlers could be determined through image tags,Rotem Kerner,moderate,If a valid external protocol handler was referenced in an image tag the resulting broken image size could be distinguished from a broken image size of a non-existent protocol handler. This allowed an attacker to successfully probe whether an external protocol handler was registered.,[1658881]
82,['CVE-2020-15254'],2020-45,Undefined behavior in bounded channel of crossbeam rust crate,Caelum van Ispelen,high,In the crossbeam rust crate the bounded channel incorrectly assumed that Vec::from_iter had allocated capacity that was the same as the number of iterator elements. Vec::from_iter does not actually guarantee that and may allocate extra memory. The destructor of the bounded channel reconstructs Vec from the raw pointer based on the incorrect assumptions - this is unsound and caused a deallocation with the incorrect capacity when Vec::from_iter had allocated different sizes than the number of iterator elements. The impact on Firefox is undetermined but in another use case the behavior was causing corruption of jemalloc structures.,[1668514]
82,['CVE-2020-15969'],2020-45,Use-after-free in usersctp,Mark Wodrich of Google,high,A use-after-free bug in the usersctp library was reported upstream. We assume this could have led to memory corruption and a potentially exploitable crash.,[1666570]
81,['CVE-2020-15675'],2020-42,Use-After-Free in WebGL,Brian Carpenter via the ASAN Nightly project,high,When processing surfaces the lifetime may outlive a persistent buffer leading to memory corruption and a potentially exploitable crash.,[1654211]
81,['CVE-2020-15677'],2020-42,Download origin spoofing via redirect,Richard Thomas and Tom Chothia of University of Birmingham,moderate,By exploiting an Open Redirect vulnerability on a website an attacker could have spoofed the site displayed in the download file dialog to show the original site (the one suffering from the open redirect) rather than the site the file was actually downloaded from.,[1641487]
81,['CVE-2020-15676'],2020-42,XSS when pasting attacker-controlled data into a contenteditable element,Daniel Fröjdendahl,moderate,Firefox sometimes ran the onload handler for SVG elements that the DOM sanitizer decided to remove resulting in JavaScript being executed after pasting attacker-controlled data into a contenteditable element.,[1646140]
