cwe_id,entry_type,title,description
200,weakness,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
203,weakness,CWE-203: Observable Discrepancy,"The product behaves differently or sends different responses under different circumstances in a way that is observable to an unauthorized actor, which exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not."
209,weakness,CWE-209: Generation of Error Message Containing Sensitive Information,"The product generates an error message that includes sensitive information about its environment, users, or associated data."
212,weakness,CWE-212: Improper Removal of Sensitive Information Before Storage or Transfer,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors."
240,weakness,CWE-240: Improper Handling of Inconsistent Structural Elements,"The product does not handle or incorrectly handles when two or more structural elements should be consistent, but are not."
248,weakness,CWE-248: Uncaught Exception,"An exception is thrown from a function, but it is not caught."
252,weakness,CWE-252: Unchecked Return Value,"The product does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions."
254,category,CWE CATEGORY: 7PK - Security Features,"Software security is not security software. Here we're concerned with topics like authentication, access control, confidentiality, cryptography, and privilege management."
255,category,CWE CATEGORY: Credentials Management Errors,Weaknesses in this category are related to the management of credentials.
264,category,"CWE CATEGORY: Permissions, Privileges, and Access Controls","Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
269,weakness,CWE-269: Improper Privilege Management,"The product does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor."
273,weakness,CWE-273: Improper Check for Dropped Privileges,The product attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.
275,category,CWE CATEGORY: Permission Issues,Weaknesses in this category are related to improper assignment or handling of permissions.
276,weakness,CWE-276: Incorrect Default Permissions,"During installation, installed file permissions are set to allow anyone to modify those files."
277,weakness,CWE-277: Insecure Inherited Permissions,A product defines a set of insecure permissions that are inherited by objects that are created by the program.
281,weakness,CWE-281: Improper Preservation of Permissions,"The product does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended."
284,weakness,CWE-284: Improper Access Control,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor.
285,weakness,CWE-285: Improper Authorization,The product does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.
287,weakness,CWE-287: Improper Authentication,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct."
288,weakness,CWE-288: Authentication Bypass Using an Alternate Path or Channel,"The product requires authentication, but the product has an alternate path or channel that does not require authentication."
290,weakness,CWE-290: Authentication Bypass by Spoofing,This attack-focused weakness is caused by incorrectly implemented authentication schemes that are subject to spoofing attacks.
295,weakness,CWE-295: Improper Certificate Validation,"The product does not validate, or incorrectly validates, a certificate."
307,weakness,CWE-307: Improper Restriction of Excessive Authentication Attempts,The product does not implement sufficient measures to prevent multiple failed authentication attempts within a short time frame.
310,category,CWE CATEGORY: Cryptographic Issues,"Weaknesses in this category are related to the design and implementation of data confidentiality and integrity. Frequently these deal with the use of encoding techniques, encryption libraries, and hashing algorithms. The weaknesses in this category could lead to a degradation of the quality data if they are not addressed."
311,weakness,CWE-311: Missing Encryption of Sensitive Data,The product does not encrypt sensitive or critical information before storage or transmission.
312,weakness,CWE-312: Cleartext Storage of Sensitive Information,The product stores sensitive information in cleartext within a resource that might be accessible to another control sphere.
319,weakness,CWE-319: Cleartext Transmission of Sensitive Information,The product transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.
326,weakness,CWE-326: Inadequate Encryption Strength,"The product stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required."
327,weakness,CWE-327: Use of a Broken or Risky Cryptographic Algorithm,The product uses a broken or risky cryptographic algorithm or protocol.
338,weakness,CWE-338: Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong."
345,weakness,CWE-345: Insufficient Verification of Data Authenticity,"The product does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data."
346,weakness,CWE-346: Origin Validation Error,The product does not properly verify that the source of data or communication is valid.
347,weakness,CWE-347: Improper Verification of Cryptographic Signature,"The product does not verify, or incorrectly verifies, the cryptographic signature for data."
350,weakness,CWE-350: Reliance on Reverse DNS Resolution for a Security-Critical Action,"The product performs reverse DNS resolution on an IP address to obtain the hostname and make a security decision, but it does not properly ensure that the IP address is truly associated with the hostname."
351,weakness,CWE-351: Insufficient Type Distinction,The product does not properly distinguish between different types of elements in a way that leads to insecure behavior.
352,weakness,CWE-352: Cross-Site Request Forgery (CSRF),"The web application does not, or cannot, sufficiently verify whether a request was intentionally provided by the user who sent the request, which could have originated from an unauthorized actor."
354,weakness,CWE-354: Improper Validation of Integrity Check Value,"The product does not validate or incorrectly validates the integrity check values or ""checksums"" of a message. This may prevent it from detecting if the data has been modified or corrupted in transmission."
356,weakness,CWE-356: Product UI does not Warn User of Unsafe Actions,The product's user interface does not warn the user before undertaking an unsafe action on behalf of that user. This makes it easier for attackers to trick users into inflicting damage to their system.
359,weakness,CWE-359: Exposure of Private Personal Information to an Unauthorized Actor,"The product does not properly prevent a person's private, personal information from being accessed by actors who either (1) are not explicitly authorized to access the information or (2) do not have the implicit consent of the person about whom the information is collected."
362,weakness,CWE-362: Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),"The product contains a concurrent code sequence that requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence operating concurrently."
367,weakness,CWE-367: Time-of-check Time-of-use (TOCTOU) Race Condition,"The product checks the state of a resource before using that resource, but the resource's state can change between the check and the use in a way that invalidates the results of the check."
384,weakness,CWE-384: Session Fixation,"Authenticating a user, or otherwise establishing a new user session, without invalidating any existing session identifier gives an attacker the opportunity to steal authenticated sessions."
386,weakness,CWE-386: Symbolic Name not Mapping to Correct Object,"A constant symbolic reference to an object is used, even though the reference can resolve to a different object over time."
388,category,CWE CATEGORY: 7PK - Errors,"This category represents one of the phyla in the Seven Pernicious Kingdoms vulnerability classification. It includes weaknesses that occur when an application does not properly handle errors that occur during processing. According to the authors of the Seven Pernicious Kingdoms, ""Errors and error handling represent a class of API. Errors related to error handling are so common that they deserve a special kingdom of their own. As with 'API Abuse,' there are two ways to introduce an error-related security vulnerability: the most common one is handling errors poorly (or not at all). The second is producing errors that either give out too much information (to possible attackers) or are difficult to handle."""
399,category,CWE CATEGORY: Resource Management Errors,Weaknesses in this category are related to improper management of system resources.
400,weakness,CWE-400: Uncontrolled Resource Consumption,The product does not properly control the allocation and maintenance of a limited resource.
401,weakness,CWE-401: Missing Release of Memory after Effective Lifetime,"The product does not sufficiently track and release allocated memory after it has been used, making the memory unavailable for reallocation and reuse."
403,weakness,CWE-403: Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak'),"A process does not close sensitive file descriptors before invoking a child process, which allows the child to perform unauthorized I/O operations using those descriptors."
404,weakness,CWE-404: Improper Resource Shutdown or Release,The product does not release or incorrectly releases a resource before it is made available for re-use.
415,weakness,CWE-415: Double Free,The product calls free() twice on the same memory address.
416,weakness,CWE-416: Use After Free,"The product reuses or references memory after it has been freed. At some point afterward, the memory may be allocated again and saved in another pointer, while the original pointer references a location somewhere within the new allocation. Any operations using the original pointer are no longer valid because the memory ""belongs"" to the code that operates on the new pointer."
417,category,CWE CATEGORY: Communication Channel Errors,"Weaknesses in this category are related to improper handling of communication channels and access paths. These weaknesses include problems in creating, managing, or removing alternate channels and alternate paths. Some of these can overlap virtual file problems and are commonly used in ""bypass"" attacks, such as those that exploit authentication errors."
425,weakness,CWE-425: Direct Request ('Forced Browsing'),"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files."
426,weakness,CWE-426: Untrusted Search Path,The product searches for critical resources using an externally-supplied search path that can point to resources that are not under the product's direct control.
427,weakness,CWE-427: Uncontrolled Search Path Element,"The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors."
431,weakness,CWE-431: Missing Handler,A handler is not available or implemented.
434,weakness,CWE-434: Unrestricted Upload of File with Dangerous Type,The product allows the upload or transfer of dangerous file types that are automatically processed within its environment.
444,weakness,CWE-444: Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"The product acts as an intermediary HTTP agent (such as a proxy or firewall) in the data flow between two entities such as a client and server, but it does not interpret malformed HTTP requests or responses in ways that are consistent with how the messages will be processed by those entities that are at the ultimate destination."
451,weakness,CWE-451: User Interface (UI) Misrepresentation of Critical Information,"The user interface (UI) does not properly represent critical information to the user, allowing the information - or its source - to be obscured or spoofed. This is often a component in phishing attacks."
457,weakness,CWE-457: Use of Uninitialized Variable,"The code uses a variable that has not been initialized, leading to unpredictable or unintended results."
470,weakness,CWE-470: Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),"The product uses external input with reflection to select which classes or code to use, but it does not sufficiently prevent the input from selecting improper classes or code."
476,weakness,CWE-476: NULL Pointer Dereference,The product dereferences a pointer that it expects to be valid but is NULL.
497,weakness,CWE-497: Exposure of Sensitive System Information to an Unauthorized Control Sphere,The product does not properly prevent sensitive system-level information from being accessed by unauthorized actors who do not have the same level of access to the underlying system as the product does.
502,weakness,CWE-502: Deserialization of Untrusted Data,The product deserializes untrusted data without sufficiently ensuring that the resulting data will be valid.
522,weakness,CWE-522: Insufficiently Protected Credentials,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
532,weakness,CWE-532: Insertion of Sensitive Information into Log File,The product writes sensitive information to a log file.
538,weakness,CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory,"The product places sensitive information into files or directories that are accessible to actors who are allowed to have access to the files, but not to the sensitive information."
552,weakness,CWE-552: Files or Directories Accessible to External Parties,"The product makes files or directories accessible to unauthorized actors, even though they should not be."
565,weakness,CWE-565: Reliance on Cookies without Validation and Integrity Checking,"The product relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user."
591,weakness,CWE-591: Sensitive Data Storage in Improperly Locked Memory,"The product stores sensitive data in memory that is not locked, or that has been incorrectly locked, which might cause the memory to be written to swap files on disk by the virtual memory manager. This can make the data more accessible to external actors."
601,weakness,CWE-601: URL Redirection to Untrusted Site ('Open Redirect'),"The web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a redirect."
610,weakness,CWE-610: Externally Controlled Reference to a Resource in Another Sphere,The product uses an externally controlled name or reference that resolves to a resource that is outside of the intended control sphere.
611,weakness,CWE-611: Improper Restriction of XML External Entity Reference,"The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output."
614,weakness,CWE-614: Sensitive Cookie in HTTPS Session Without 'Secure' Attribute,The Secure attribute for sensitive cookies in HTTPS sessions is not set.
617,weakness,CWE-617: Reachable Assertion,"The product contains an assert() or similar statement that can be triggered by an attacker, which leads to an application exit or other behavior that is more severe than necessary."
653,weakness,CWE-653: Improper Isolation or Compartmentalization,"The product does not properly compartmentalize or isolate functionality, processes, or resources that require different privilege levels, rights, or permissions."
664,weakness,CWE-664: Improper Control of a Resource Through its Lifetime,"The product does not maintain or incorrectly maintains control over a resource throughout its lifetime of creation, use, and release."
665,weakness,CWE-665: Improper Initialization,"The product does not initialize or incorrectly initializes a resource, which might leave the resource in an unexpected state when it is accessed or used."
667,weakness,CWE-667: Improper Locking,"The product does not properly acquire or release a lock on a resource, leading to unexpected resource state changes and behaviors."
668,weakness,CWE-668: Exposure of Resource to Wrong Sphere,"The product exposes a resource to the wrong control sphere, providing unintended actors with inappropriate access to the resource."
669,weakness,CWE-669: Incorrect Resource Transfer Between Spheres,"The product does not properly transfer a resource/behavior to another sphere, or improperly imports a resource/behavior from another sphere, in a manner that provides unintended control over that resource."
672,weakness,CWE-672: Operation on a Resource after Expiration or Release,"The product uses, accesses, or otherwise operates on a resource after that resource has been expired, released, or revoked."
680,weakness,CWE-680: Integer Overflow to Buffer Overflow,"The product performs a calculation to determine how much memory to allocate, but an integer overflow can occur that causes less memory to be allocated than expected, leading to a buffer overflow."
681,weakness,CWE-681: Incorrect Conversion between Numeric Types,"When converting from one data type to another, such as long to integer, data can be omitted or translated in a way that produces unexpected values. If the resulting values are used in a sensitive context, then dangerous behaviors may occur."
682,weakness,CWE-682: Incorrect Calculation,The product performs a calculation that generates incorrect or unintended results that are later used in security-critical decisions or resource management.
686,weakness,CWE-686: Function Call With Incorrect Argument Type,"The product calls a function, procedure, or routine, but the caller specifies an argument that is the wrong data type, which may lead to resultant weaknesses."
693,weakness,CWE-693: Protection Mechanism Failure,The product does not use or incorrectly uses a protection mechanism that provides sufficient defense against directed attacks against the product.
703,weakness,CWE-703: Improper Check or Handling of Exceptional Conditions,The product does not properly anticipate or handle exceptional conditions that rarely occur during normal operation of the product.
704,weakness,CWE-704: Incorrect Type Conversion or Cast,"The product does not correctly convert an object, resource, or structure from one type to a different type."
732,weakness,CWE-732: Incorrect Permission Assignment for Critical Resource,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.
733,weakness,CWE-733: Compiler Optimization Removal or Modification of Security-critical Code,"The developer builds a security-critical protection mechanism into the software, but the compiler optimizes the program such that the mechanism is removed or modified."
754,weakness,CWE-754: Improper Check for Unusual or Exceptional Conditions,The product does not check or incorrectly checks for unusual or exceptional conditions that are not expected to occur frequently during day to day operation of the product.
755,weakness,CWE-755: Improper Handling of Exceptional Conditions,The product does not handle or incorrectly handles an exceptional condition.
758,weakness,"CWE-758: Reliance on Undefined, Unspecified, or Implementation-Defined Behavior","The product uses an API function, data structure, or other entity in a way that relies on properties that are not always guaranteed to hold for that entity."
763,weakness,CWE-763: Release of Invalid Pointer or Reference,"The product attempts to return a memory resource to the system, but it calls the wrong release function or calls the appropriate release function incorrectly."
770,weakness,CWE-770: Allocation of Resources Without Limits or Throttling,The product allocates a reusable resource or group of resources on behalf of an actor without imposing any intended restrictions on the size or number of resources that can be allocated.
772,weakness,CWE-772: Missing Release of Resource after Effective Lifetime,"The product does not release a resource after its effective lifetime has ended, i.e., after the resource is no longer needed."
786,weakness,CWE-786: Access of Memory Location Before Start of Buffer,The product reads or writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.
787,weakness,CWE-787: Out-of-bounds Write,"The product writes data past the end, or before the beginning, of the intended buffer."
823,weakness,CWE-823: Use of Out-of-range Pointer Offset,"The product performs pointer arithmetic on a valid pointer, but it uses an offset that can point outside of the intended range of valid memory locations for the resulting pointer."
824,weakness,CWE-824: Access of Uninitialized Pointer,The product accesses or uses a pointer that has not been initialized.
829,weakness,CWE-829: Inclusion of Functionality from Untrusted Control Sphere,"The product imports, requires, or includes executable functionality (such as a library) from a source that is outside of the intended control sphere."
830,weakness,CWE-830: Inclusion of Web Functionality from an Untrusted Source,"The product includes web functionality (such as a web widget) from another domain, which causes it to operate within the domain of the product, potentially granting total access and control of the product to the untrusted source."
834,weakness,CWE-834: Excessive Iteration,The product performs an iteration or loop without sufficiently limiting the number of times that the loop is executed.
835,weakness,CWE-835: Loop with Unreachable Exit Condition ('Infinite Loop'),"The product contains an iteration or loop with an exit condition that cannot be reached, i.e., an infinite loop."
838,weakness,CWE-838: Inappropriate Encoding for Output Context,"The product uses or specifies an encoding when generating output to a downstream component, but the specified encoding is not the same as the encoding that is expected by the downstream component."
843,weakness,CWE-843: Access of Resource Using Incompatible Type ('Type Confusion'),"The product allocates or initializes a resource such as a pointer, object, or variable using one type, but it later accesses that resource using a type that is incompatible with the original type."
862,weakness,CWE-862: Missing Authorization,The product does not perform an authorization check when an actor attempts to access a resource or perform an action.
863,weakness,CWE-863: Incorrect Authorization,"The product performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check."
908,weakness,CWE-908: Use of Uninitialized Resource,The product uses or accesses a resource that has not been initialized.
909,weakness,CWE-909: Missing Initialization of Resource,The product does not initialize a critical resource.
922,weakness,CWE-922: Insecure Storage of Sensitive Information,The product stores sensitive information without properly limiting read or write access by unauthorized actors.
942,weakness,CWE-942: Permissive Cross-domain Security Policy with Untrusted Domains,"The product uses a web-client protection mechanism such as a Content Security Policy (CSP) or cross-domain policy file, but the policy includes untrusted domains with which the web client is allowed to communicate."
1007,weakness,CWE-1007: Insufficient Visual Distinction of Homoglyphs Presented to User,"The product displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action."
1021,weakness,CWE-1021: Improper Restriction of Rendered UI Layers or Frames,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with."
1104,weakness,CWE-1104: Use of Unmaintained Third Party Components,The product relies on third-party components that are not actively supported or maintained by the original developer or a trusted proxy for the original developer.
1187,weakness,CWE-1187: DEPRECATED: Use of Uninitialized Resource,This entry has been deprecated because it was a duplicate of CWE-908 . All content has been transferred to CWE-908 .
1188,weakness,CWE-1188: Initialization of a Resource with an Insecure Default,"The product initializes or sets a resource with a default that is intended to be changed by the product's installer, administrator, or maintainer, but the default is not secure."
1260,weakness,CWE-1260: Improper Handling of Overlap Between Protected Memory Ranges,"The product allows address regions to overlap, which can result in the bypassing of intended memory protection."
1275,weakness,CWE-1275: Sensitive Cookie with Improper SameSite Attribute,"The SameSite attribute for sensitive cookies is not set, or an insecure value is used."
1284,weakness,CWE-1284: Improper Validation of Specified Quantity in Input,"The product receives input that is expected to specify a quantity (such as size or length), but it does not validate or incorrectly validates that the quantity has the required properties."
1321,weakness,CWE-1321: Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"The product receives input from an upstream component that specifies attributes that are to be initialized or updated in an object, but it does not properly control modifications of attributes of the object prototype."
1332,weakness,CWE-1332: Improper Handling of Faults that Lead to Instruction Skips,The device is missing or incorrectly implements circuitry or sensors that detect and mitigate the skipping of security-critical CPU instructions when they occur.
1384,weakness,CWE-1384: Improper Handling of Physical or Environmental Conditions,The product does not properly handle unexpected physical or environmental conditions that occur naturally or are artificially induced.
