cve_id,description
CVE-2022-45418,If a custom mouse cursor is specified in CSS under certain circumstances the cursor could have been drawn over the browser UI resulting in potential user confusion or spoofing attacks. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45417,Service Workers did not detect Private Browsing Mode correctly in all cases which could have led to Service Workers being written to disk for websites visited in Private Browsing Mode. This would not have persisted them in a state where they would run again but it would have leaked Private Browsing Mode details to disk. This vulnerability affects Firefox < 107.
CVE-2022-45416,"Keyboard events reference strings like ""KeyA"" that were at fixed known and widely-spread addresses. Cache-based timing attacks such as Prime+Probe could have possibly figured out which keys were being pressed. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107."
CVE-2022-45415,When downloading an HTML file if the title of the page was formatted as a filename with a malicious extension Firefox may have saved the file with that extension leading to possible system compromise if the downloaded file was later ran. This vulnerability affects Firefox < 107.
CVE-2022-45414,If a Thunderbird user quoted from an HTML email for example by replying to the email and the email contained either a VIDEO tag with the POSTER attribute or an OBJECT tag with a DATA attribute a network request to the referenced remote URL was performed regardless of a configuration to block remote content. An image loaded from the POSTER attribute was shown in the composer window. These issues could have given an attacker additional capabilities when targetting releases that did not yet have a fix for CVE-2022-3033 which was reported around three months ago. This vulnerability affects Thunderbird < 102.5.1.
CVE-2022-45413,Using the <code>S.browser_fallback_url parameter</code> parameter an attacker could redirect a user to a URL and cause SameSite=Strict cookies to be sent.<br>*This issue only affects Firefox for Android. Other operating systems are not affected.*. This vulnerability affects Firefox < 107.
CVE-2022-45412,When resolving a symlink such as <code>file:///proc/self/fd/1</code> an error message may be produced where the symlink was resolved to a string containing unitialized memory in the buffer. <br>*This bug only affects Thunderbird on Unix-based operated systems (Android Linux MacOS). Windows is unaffected.*. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45411,Cross-Site Tracing occurs when a server will echo a request back via the Trace method allowing an XSS attack to access to authorization headers and cookies inaccessible to JavaScript (such as cookies protected by HTTPOnly). To mitigate this attack browsers placed limits on <code>fetch()</code> and XMLHttpRequest; however some webservers have implemented non-standard headers such as <code>X-Http-Method-Override</code> that override the HTTP method and made this attack possible again. Thunderbird has applied the same mitigations to the use of this and similar headers. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45410,When a ServiceWorker intercepted a request with <code>FetchEvent</code> the origin of the request was lost after the ServiceWorker took ownership of it. This had the effect of negating SameSite cookie protections. This was addressed in the spec and then in browsers. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45409,The garbage collector could have been aborted in several states and zones and <code>GCRuntime::finishCollection</code> may not have been called leading to a use-after-free and potentially exploitable crash. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45408,Through a series of popups that reuse windowName an attacker can cause a window to go fullscreen without the user seeing the notification prompt resulting in potential user confusion or spoofing attacks. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45407,If an attacker loaded a font using <code>FontFace()</code> on a background worker a use-after-free could have occurred leading to a potentially exploitable crash. This vulnerability affects Firefox < 107.
CVE-2022-45406,If an out-of-memory condition occurred when creating a JavaScript global a JavaScript realm may be deleted while references to it lived on in a BaseShape. This could lead to a use-after-free causing a potentially exploitable crash. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45405,Freeing arbitrary <code>nsIInputStream</code>'s on a different thread than creation could have led to a use-after-free and potentially exploitable crash. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45404,Through a series of popup and <code>window.print()</code> calls an attacker can cause a window to go fullscreen without the user seeing the notification prompt resulting in potential user confusion or spoofing attacks. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45403,Service Workers should not be able to infer information about opaque cross-origin responses; but timing information for cross-origin media combined with Range requests might have allowed them to determine the presence or length of a media file. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-42932,Mozilla developers Ashley Hale and the Mozilla Fuzzing Team reported memory safety bugs present in Thunderbird 102.3. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Thunderbird < 102.4 Firefox ESR < 102.4 and Firefox < 106.
CVE-2022-42931,Logins saved by Firefox should be managed by the Password Manager component which uses encryption to save files on-disk. Instead the username (not password) was saved by the Form Manager to an unencrypted file on disk. This vulnerability affects Firefox < 106.
CVE-2022-42930,If two Workers were simultaneously initializing their CacheStorage a data race could have occurred in the <code>ThirdPartyUtil</code> component. This vulnerability affects Firefox < 106.
CVE-2022-42929,If a website called <code>window.print()</code> in a particular way it could cause a denial of service of the browser which may persist beyond browser restart depending on the user's session restore settings. This vulnerability affects Thunderbird < 102.4 Firefox ESR < 102.4 and Firefox < 106.
CVE-2022-42928,Certain types of allocations were missing annotations that if the Garbage Collector was in a specific state could have lead to memory corruption and a potentially exploitable crash. This vulnerability affects Thunderbird < 102.4 Firefox ESR < 102.4 and Firefox < 106.
CVE-2022-42927,A same-origin policy violation could have allowed the theft of cross-origin URL entries leaking the result of a redirect via <code>performance.getEntries()</code>. This vulnerability affects Thunderbird < 102.4 Firefox ESR < 102.4 and Firefox < 106.
CVE-2022-40962,Mozilla developers Nika Layzell Timothy Nikkel Sebastian Hengst Andreas Pehrson and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 104 and Firefox ESR 102.2. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox ESR < 102.3 Thunderbird < 102.3 and Firefox < 105.
CVE-2022-40961,During startup a graphics driver with an unexpected name could lead to a stack-buffer overflow causing a potentially exploitable crash.<br>*This issue only affects Firefox for Android. Other operating systems are not affected.*. This vulnerability affects Firefox < 105.
CVE-2022-40960,Concurrent use of the URL parser with non-UTF-8 data was not thread-safe. This could lead to a use-after-free causing a potentially exploitable crash. This vulnerability affects Firefox ESR < 102.3 Thunderbird < 102.3 and Firefox < 105.
CVE-2022-40959,During iframe navigation certain pages did not have their FeaturePolicy fully initialized leading to a bypass that leaked device permissions into untrusted subdocuments. This vulnerability affects Firefox ESR < 102.3 Thunderbird < 102.3 and Firefox < 105.
CVE-2022-40958,By injecting a cookie with certain special characters an attacker on a shared subdomain which is not a secure context could set and thus overwrite cookies from a secure context leading to session fixation and other attacks. This vulnerability affects Firefox ESR < 102.3 Thunderbird < 102.3 and Firefox < 105.
CVE-2022-40957,Inconsistent data in instruction and data cache when creating wasm code could lead to a potentially exploitable crash.<br>*This bug only affects Firefox on ARM64 platforms.*. This vulnerability affects Firefox ESR < 102.3 Thunderbird < 102.3 and Firefox < 105.
CVE-2022-40956,When injecting an HTML base element some requests would ignore the CSP's base-uri settings and accept the injected element's base instead. This vulnerability affects Firefox ESR < 102.3 Thunderbird < 102.3 and Firefox < 105.
CVE-2022-40674,libexpat before 2.4.9 has a use-after-free in the doContent function in xmlparse.c.
CVE-2022-39251,Matrix Javascript SDK is the Matrix Client-Server SDK for JavaScript. Prior to version 19.7.0 an attacker cooperating with a malicious homeserver can construct messages that legitimately appear to have come from another person without any indication such as a grey shield. Additionally a sophisticated attacker cooperating with a malicious homeserver could employ this vulnerability to perform a targeted attack in order to send fake to-device messages appearing to originate from another user. This can allow for example to inject the key backup secret during a self-verification to make a targeted device start using a malicious key backup spoofed by the homeserver. These attacks are possible due to a protocol confusion vulnerability that accepts to-device messages encrypted with Megolm instead of Olm. Starting with version 19.7.0 matrix-js-sdk has been modified to only accept Olm-encrypted to-device messages. Out of caution several other checks have been audited or added. This attack requires coordination between a malicious home server and an attacker so those who trust their home servers do not need a workaround.
CVE-2022-39250,Matrix JavaScript SDK is the Matrix Client-Server software development kit (SDK) for JavaScript. Prior to version 19.7.0 an attacker cooperating with a malicious homeserver could interfere with the verification flow between two users injecting its own cross-signing user identity in place of one of the users&#8217; identities. This would lead to the other device trusting/verifying the user identity under the control of the homeserver instead of the intended one. The vulnerability is a bug in the matrix-js-sdk caused by checking and signing user identities and devices in two separate steps and inadequately fixing the keys to be signed between those steps. Even though the attack is partly made possible due to the design decision of treating cross-signing user identities as Matrix devices on the server side (with their device ID set to the public part of the user identity key) no other examined implementations were vulnerable. Starting with version 19.7.0 the matrix-js-sdk has been modified to double check that the key signed is the one that was verified instead of just referencing the key by ID. An additional check has been made to report an error when one of the device ID matches a cross-signing key. As this attack requires coordination between a malicious homeserver and an attacker those who trust their homeservers do not need a particular workaround.
CVE-2022-39249,Matrix Javascript SDK is the Matrix Client-Server SDK for JavaScript. Prior to version 19.7.0 an attacker cooperating with a malicious homeserver can construct messages appearing to have come from another person. Such messages will be marked with a grey shield on some platforms but this may be missing in others. This attack is possible due to the matrix-js-sdk implementing a too permissive key forwarding strategy on the receiving end. Starting with version 19.7.0 the default policy for accepting key forwards has been made more strict in the matrix-js-sdk. matrix-js-sdk will now only accept forwarded keys in response to previously issued requests and only from own verified devices. The SDK now sets a `trusted` flag on the decrypted message upon decryption based on whether the key used to decrypt the message was received from a trusted source. Clients need to ensure that messages decrypted with a key with `trusted = false` are decorated appropriately for example by showing a warning for such messages. This attack requires coordination between a malicious homeserver and an attacker and those who trust your homeservers do not need a workaround.
CVE-2022-39236,Matrix Javascript SDK is the Matrix Client-Server SDK for JavaScript. Starting with version 17.1.0-rc.1 improperly formed beacon events can disrupt or impede the matrix-js-sdk from functioning properly potentially impacting the consumer's ability to process data safely. Note that the matrix-js-sdk can appear to be operating normally but be excluding or corrupting runtime data presented to the consumer. This is patched in matrix-js-sdk v19.7.0. Redacting applicable events waiting for the sync processor to store data and restarting the client are possible workarounds. Alternatively redacting the applicable events and clearing all storage will fix the further perceived issues. Downgrading to an unaffected version noting that such a version may be subject to other vulnerabilities will additionally resolve the issue.
CVE-2022-38478,Members the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 103 Firefox ESR 102.1 and Firefox ESR 91.12. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Thunderbird < 102.2 Thunderbird < 91.13 Firefox ESR < 91.13 Firefox ESR < 102.2 and Firefox < 104.
CVE-2022-38477,Mozilla developer Nika Layzell and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 103 and Firefox ESR 102.1. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox ESR < 102.2 Thunderbird < 102.2 and Firefox < 104.
CVE-2022-38476,A data race could occur in the <code>PK11_ChangePW</code> function potentially leading to a use-after-free vulnerability. In Firefox this lock protected the data when a user changed their master password. This vulnerability affects Firefox ESR < 102.2 and Thunderbird < 102.2.
CVE-2022-38475,An attacker could have written a value to the first element in a zero-length JavaScript array. Although the array was zero-length the value was not written to an invalid memory address. This vulnerability affects Firefox < 104.
CVE-2022-38474,A website that had permission to access the microphone could record audio without the audio notification being shown. This bug does not allow the attacker to bypass the permission prompt - it only affects the notification shown once permission has been granted.<br />*This bug only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 104.
CVE-2022-38473,A cross-origin iframe referencing an XSLT document would inherit the parent domain's permissions (such as microphone or camera access). This vulnerability affects Thunderbird < 102.2 Thunderbird < 91.13 Firefox ESR < 91.13 Firefox ESR < 102.2 and Firefox < 104.
CVE-2022-38472,An attacker could have abused XSLT error handling to associate attacker-controlled content with another origin which was displayed in the address bar. This could have been used to fool the user into submitting data intended for the spoofed origin. This vulnerability affects Thunderbird < 102.2 Thunderbird < 91.13 Firefox ESR < 91.13 Firefox ESR < 102.2 and Firefox < 104.
CVE-2022-36320,Mozilla developers and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 102. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 103.
CVE-2022-36319,When combining CSS properties for overflow and transform the mouse cursor could interact with different coordinates than displayed. This vulnerability affects Firefox ESR < 102.1 Firefox ESR < 91.12 Firefox < 103 Thunderbird < 102.1 and Thunderbird < 91.12.
CVE-2022-36318,When visiting directory listings for `chrome://` URLs as source text some parameters were reflected. This vulnerability affects Firefox ESR < 102.1 Firefox ESR < 91.12 Firefox < 103 Thunderbird < 102.1 and Thunderbird < 91.12.
CVE-2022-36317,When visiting a website with an overly long URL the user interface would start to hang. Due to session restore this could lead to a permanent Denial of Service.<br>*This bug only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 103.
CVE-2022-36316,When using the Performance API an attacker was able to notice subtle differences between PerformanceEntries and thus learn whether the target URL had been subject to a redirect. This vulnerability affects Firefox < 103.
CVE-2022-36315,When loading a script with Subresource Integrity attackers with an injection capability could trigger the reuse of previously cached entries with incorrect different integrity metadata. This vulnerability affects Firefox < 103.
CVE-2022-36314,When opening a Windows shortcut from the local filesystem an attacker could supply a remote path that would lead to unexpected network requests from the operating system.<br>This bug only affects Firefox for Windows. Other operating systems are unaffected.*. This vulnerability affects Firefox ESR < 102.1 Firefox < 103 and Thunderbird < 102.1.
CVE-2022-36059,RESERVED
CVE-2022-34485,Mozilla developers Bryce Seager van Dyk and the Mozilla Fuzzing Team reported potential vulnerabilities present in Firefox 101. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 102.
CVE-2022-34484,The Mozilla Fuzzing Team reported potential vulnerabilities present in Thunderbird 91.10. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 102 Firefox ESR < 91.11 Thunderbird < 102 and Thunderbird < 91.11.
CVE-2022-34483,An attacker who could have convinced a user to drag and drop an image to a filesystem could have manipulated the resulting filename to contain an executable extension and by extension potentially tricked the user into executing malicious code. While very similar this is a separate issue from CVE-2022-34482. This vulnerability affects Firefox < 102.
CVE-2022-34482,An attacker who could have convinced a user to drag and drop an image to a filesystem could have manipulated the resulting filename to contain an executable extension and by extension potentially tricked the user into executing malicious code. While very similar this is a separate issue from CVE-2022-34483. This vulnerability affects Firefox < 102.
CVE-2022-34481,In the <code>nsTArray_Impl::ReplaceElementsAt()</code> function an integer overflow could have occurred when the number of elements to replace was too large for the container. This vulnerability affects Firefox < 102 Firefox ESR < 91.11 Thunderbird < 102 and Thunderbird < 91.11.
CVE-2022-34480,Within the <code>lg_init()</code> function if several allocations succeed but then one fails an uninitialized pointer would have been freed despite never being allocated. This vulnerability affects Firefox < 102.
CVE-2022-34479,A malicious website that could create a popup could have resized the popup to overlay the address bar with its own content resulting in potential user confusion or spoofing attacks. <br>*This bug only affects Thunderbird for Linux. Other operating systems are unaffected.*. This vulnerability affects Firefox < 102 Firefox ESR < 91.11 Thunderbird < 102 and Thunderbird < 91.11.
CVE-2022-34478,The <code>ms-msdt</code> <code>search</code> and <code>search-ms</code> protocols deliver content to Microsoft applications bypassing the browser when a user accepts a prompt. These applications have had known vulnerabilities exploited in the wild (although we know of none exploited through Thunderbird) so in this release Thunderbird has blocked these protocols from prompting the user to open them.<br>*This bug only affects Thunderbird on Windows. Other operating systems are unaffected.*. This vulnerability affects Firefox < 102 Firefox ESR < 91.11 Thunderbird < 102 and Thunderbird < 91.11.
CVE-2022-34477,The MediaError message property should be consistent to avoid leaking information about cross-origin resources; however for a same-site cross-origin resource the message could have leaked information enabling XS-Leaks attacks. This vulnerability affects Firefox < 102.
CVE-2022-34476,ASN.1 parsing of an indefinite SEQUENCE inside an indefinite GROUP could have resulted in the parser accepting malformed ASN.1. This vulnerability affects Firefox < 102.
CVE-2022-34475,SVG <code>&lt;use&gt;</code> tags that referenced a same-origin document could have resulted in script execution if attacker input was sanitized via the HTML Sanitizer API. This would have required the attacker to reference a same-origin JavaScript file containing the script to be executed. This vulnerability affects Firefox < 102.
CVE-2022-34474,Even when an iframe was sandboxed with <code>allow-top-navigation-by-user-activation</code> if it received a redirect header to an external protocol the browser would process the redirect and prompt the user as appropriate. This vulnerability affects Firefox < 102.
CVE-2022-34473,The HTML Sanitizer should have sanitized the <code>href</code> attribute of SVG <code>&lt;use&gt;</code> tags; however it incorrectly did not sanitize <code>xlink:href</code> attributes. This vulnerability affects Firefox < 102.
CVE-2022-34472,If there was a PAC URL set and the server that hosts the PAC was not reachable OCSP requests would have been blocked resulting in incorrect error pages being shown. This vulnerability affects Firefox < 102 Firefox ESR < 91.11 Thunderbird < 102 and Thunderbird < 91.11.
CVE-2022-34471,When downloading an update for an addon the downloaded addon update's version was not verified to match the version selected from the manifest. If the manifest had been tampered with on the server an attacker could trick the browser into downgrading the addon to a prior version. This vulnerability affects Firefox < 102.
CVE-2022-34470,Session history navigations may have led to a use-after-free and potentially exploitable crash. This vulnerability affects Firefox < 102 Firefox ESR < 91.11 Thunderbird < 102 and Thunderbird < 91.11.
CVE-2022-34469,When a TLS Certificate error occurs on a domain protected by the HSTS header the browser should not allow the user to bypass the certificate error. On Firefox for Android the user was presented with the option to bypass the error; this could only have been done by the user explicitly. <br>*This bug only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 102.
CVE-2022-34468,An iframe that was not permitted to run scripts could do so if the user clicked on a <code>javascript:</code> link. This vulnerability affects Firefox < 102 Firefox ESR < 91.11 Thunderbird < 102 and Thunderbird < 91.11.
CVE-2022-3266,An out-of-bounds read can occur when decoding H264 video. This results in a potentially exploitable crash. This vulnerability affects Firefox ESR < 102.3 Thunderbird < 102.3 and Firefox < 105.
CVE-2022-31748,Mozilla developers Gabriele Svelto Timothy Nikkel Randell Jesup Jon Coppeard and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 100. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 101.
CVE-2022-31747,Mozilla developers Andrew McCreight Nicolas B. Pierron and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 100 and Firefox ESR 91.9. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Thunderbird < 91.10 Firefox < 101 and Firefox ESR < 91.10.
CVE-2022-31745,If array shift operations are not used the Garbage Collector may have become confused about valid objects. This vulnerability affects Firefox < 101.
CVE-2022-31744,An attacker could have injected CSS into stylesheets accessible via internal URIs such as resource: and in doing so bypass a page's Content Security Policy. This vulnerability affects Firefox ESR < 91.11 Thunderbird < 102 Thunderbird < 91.11 and Firefox < 101.
CVE-2022-31743,Firefox's HTML parser did not correctly interpret HTML comment tags resulting in an incongruity with other browsers. This could have been used to escape HTML comments on pages that put user-controlled data in them. This vulnerability affects Firefox < 101.
CVE-2022-31742,An attacker could have exploited a timing attack by sending a large number of allowCredential entries and detecting the difference between invalid key handles and cross-origin key handles. This could have led to cross-origin account linking in violation of WebAuthn goals. This vulnerability affects Thunderbird < 91.10 Firefox < 101 and Firefox ESR < 91.10.
CVE-2022-31741,A crafted CMS message could have been processed incorrectly leading to an invalid memory read and potentially further memory corruption. This vulnerability affects Thunderbird < 91.10 Firefox < 101 and Firefox ESR < 91.10.
CVE-2022-31740,On arm64 WASM code could have resulted in incorrect assembly generation leading to a register allocation problem and a potentially exploitable crash. This vulnerability affects Thunderbird < 91.10 Firefox < 101 and Firefox ESR < 91.10.
CVE-2022-31739,When downloading files on Windows the % character was not escaped which could have lead to a download incorrectly being saved to attacker-influenced paths that used variables such as %HOMEPATH% or %APPDATA%.<br>*This bug only affects Firefox for Windows. Other operating systems are unaffected.*. This vulnerability affects Thunderbird < 91.10 Firefox < 101 and Firefox ESR < 91.10.
CVE-2022-31738,When exiting fullscreen mode an iframe could have confused the browser about the current state of fullscreen resulting in potential user confusion or spoofing attacks. This vulnerability affects Thunderbird < 91.10 Firefox < 101 and Firefox ESR < 91.10.
CVE-2022-31737,A malicious webpage could have caused an out-of-bounds write in WebGL leading to memory corruption and a potentially exploitable crash. This vulnerability affects Thunderbird < 91.10 Firefox < 101 and Firefox ESR < 91.10.
CVE-2022-31736,A malicious website could have learned the size of a cross-origin resource that supported Range requests. This vulnerability affects Thunderbird < 91.10 Firefox < 101 and Firefox ESR < 91.10.
CVE-2022-3155,When saving or opening an email attachment on macOS Thunderbird did not set attribute com.apple.quarantine on the received file. If the received file was an application and the user attempted to open it then the application was started immediately without asking the user to confirm. This vulnerability affects Thunderbird < 102.3.
CVE-2022-3034,When receiving an HTML email that specified to load an <code>iframe</code> element from a remote location a request to the remote document was sent. However Thunderbird didn't display the document. This vulnerability affects Thunderbird < 102.2.1 and Thunderbird < 91.13.1.
CVE-2022-3033,"If a Thunderbird user replied to a crafted HTML email containing a <code>meta</code> tag with the <code>meta</code> tag having the <code>http-equiv=""refresh""</code> attribute and the content attribute specifying an URL then Thunderbird started a network request to that URL regardless of the configuration to block remote content. In combination with certain other HTML elements and attributes in the email it was possible to execute JavaScript code included in the message in the context of the message compose document. The JavaScript code was able to perform actions including but probably not limited to read and modify the contents of the message compose document including the quoted original message which could potentially contain the decrypted plaintext of encrypted data in the crafted email. The contents could then be transmitted to the network either to the URL specified in the META refresh tag or to a different URL as the JavaScript code could modify the URL specified in the document. This bug doesn't affect users who have changed the default Message Body display setting to 'simple html' or 'plain text'. This vulnerability affects Thunderbird < 102.2.1 and Thunderbird < 91.13.1."
CVE-2022-3032,When receiving an HTML email that contained an <code>iframe</code> element which used a <code>srcdoc</code> attribute to define the inner HTML document remote objects specified in the nested document for example images or videos were not blocked. Rather the network was accessed the objects were loaded and displayed. This vulnerability affects Thunderbird < 102.2.1 and Thunderbird < 91.13.1.
CVE-2022-29918,Mozilla developers Gabriele Svelto Randell Jesup and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 99. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 100.
CVE-2022-29917,Mozilla developers Andrew McCreight Gabriele Svelto Tom Ritter and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 99 and Firefox ESR 91.8. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Thunderbird < 91.9 Firefox ESR < 91.9 and Firefox < 100.
CVE-2022-29916,Firefox behaved slightly differently for already known resources when loading CSS resources involving CSS variables. This could have been used to probe the browser history. This vulnerability affects Thunderbird < 91.9 Firefox ESR < 91.9 and Firefox < 100.
CVE-2022-29915,The Performance API did not properly hide the fact whether a request cross-origin resource has observed redirects. This vulnerability affects Firefox < 100.
CVE-2022-29914,When reusing existing popups Firefox would have allowed them to cover the fullscreen notification UI which could have enabled browser spoofing attacks. This vulnerability affects Thunderbird < 91.9 Firefox ESR < 91.9 and Firefox < 100.
CVE-2022-29913,The parent process would not properly check whether the Speech Synthesis feature is enabled when receiving instructions from a child process. This vulnerability affects Thunderbird < 91.9.
CVE-2022-29912,Requests initiated through reader mode did not properly omit cookies with a SameSite attribute. This vulnerability affects Thunderbird < 91.9 Firefox ESR < 91.9 and Firefox < 100.
CVE-2022-29911,An improper implementation of the new iframe sandbox keyword <code>allow-top-navigation-by-user-activation</code> could lead to script execution without <code>allow-scripts</code> being present. This vulnerability affects Thunderbird < 91.9 Firefox ESR < 91.9 and Firefox < 100.
CVE-2022-29910,When closed or sent to the background Firefox for Android would not properly record and persist HSTS settings.<br>*Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 100.
CVE-2022-29909,Documents in deeply-nested cross-origin browsing contexts could have obtained permissions granted to the top-level origin bypassing the existing prompt and wrongfully inheriting the top-level permissions. This vulnerability affects Thunderbird < 91.9 Firefox ESR < 91.9 and Firefox < 100.
CVE-2022-28289,Mozilla developers and community members Nika Layzell Andrew McCreight Gabriele Svelto and the Mozilla Fuzzing Team reported memory safety bugs present in Thunderbird 91.7. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Thunderbird < 91.8 Firefox < 99 and Firefox ESR < 91.8.
CVE-2022-28288,Mozilla developers and community members Randell Jesup Sebastian Hengst and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 98. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 99.
